With article id: 1478bf7b-1c23-4235-9ed2-b8c287fc952c and link: http://www.reuters.com/finance/stocks/INWN.NS/key-developments/article/3268357
'638590509603274752'	Inox Wind Says: Will Be Responsible For Entire Project Lifecycle @CNBCTV18Live
'649029674853629952'	Toddler breaks jaw in fall from St. Joseph 3rd-floor window. http://t.co/jXGZSOCct0
'644088819642408960'	#ChildPorn Accused says the kids went back into the room - he gave one girl a hug "and told her she was beautiful" and left.MV
'638621933039448065'	Man uses broom to save toddler dangling from her neck out of window http://t.co/sI6z145g9r http://t.co/gWMf0L9xPm
'638953561649451008'	"From my window I can see many others, and each window has a story to tell" http://t.co/0l6wYPiWf4 http://t.co/mcZgYOe1OR
'638776812965896192'	Chemical plant blast killed 5 people Monday midnight in E China's Shandong, local authorities confirm Wednesday
'643513178412961792'	China’s State-Run Central Television Slammed for Plagiarizing a Photographer’s Work http://t.co/squNWkNNGI… https://t.co/fNtEVLFH8I
'644088819541766144'	#ChildPorn Accused says the kids went back into the room - he gave one girl a hug "and told her she was beautiful" and left.MV
'638608392521560064'	@shah1r yep, has a window in january. @choclateboysam
'638534577137389568'	Blast rips through industrial zone in China’s Shandong province http://t.co/guv9tw834Q via @WSJ‘s @crtejada
'641600298465816576'	The victim says she was at the ATM when a man came up to her with a gun and fired a shot in the air.  No one hurt.
'638672664760979456'	Man uses mop to save girl dangling from 4th-floor window: A man in China was able to use a mop to help save a girl… http://t.co/tWi2AWNykt
'649053120002023425'	‘Scream Queens’ Surprise — Double The Killers, Double The Fun: "Scream Queens" Season 1 Episode 3 recap -- the... http://t.co/TicZ9qc64P
'638536120741965828'	RT @gillianwong: Blast rips through industrial zone in China’s Shandong province http://t.co/guv9tw834Q via @WSJ‘s @crtejada
'646084204413984768'	Roof closed, window open for #NYJvsIND
'645655263865896960'	A little girl in the park just started crying. When her mom asked her why she was upset she pointed to a pigeon and said "it's so ugly."
'649111757630402560'	‘Scream Queens’ Surprise — Double The Killers, Double The Fun http://t.co/oyRZX1hH6H
'639165912822751232'	MUST SEE: Man saves child hanging from apartment window several stories up - http://t.co/5rT73n27O0 http://t.co/zu1HGUThkh
'642783036124340225'	@boardees1967 @AndyGraysdouble window seat
'647229721160192001'	Visiting conductor and student from Shandong University. http://t.co/lDUnXqCiNV
'641902374416617472'	BBC Scotland N East Man dies after city window fall: A man dies in hospital after falling from a window in Abe... http://t.co/TETfQsjEFY
'645872652184367104'	Special purpose vehicle expo held in Shandong http://t.co/nYAFjt1aeL
'638599904642904064'	Hero climbs outside 4th-floor window to rescue a dangling child... using only a mop http://t.co/GYGzpmiIi6 http://t.co/HIdHA6mSHe
'638738867898720256'	RT @prenerk: @InklessPW Next thing you'll tell me he's a double double agent
'638573409195003904'	Remember when fast food restaurants actually used the "first window"? When did every first window turn into a makeshift broom closet?
'639376570424143872'	@rymus "I've thrown this brick through the window. The window is now broken. Please fix. Urgently"
'644054001613447168'	Toddler died after hanging himself on cord of window blind, inquest finds http://t.co/wWYPsH3br1 http://t.co/kUbP15D7Tl
'638661720228040704'	Man uses mop to save girl dangling from 4th-floor window http://t.co/HLhKQvh3MJ
'644545235310149634'	Shocking #video shows toddler thrown from nursery window in #China to escape fire  http://t.co/hEJlz9sRXr http://t.co/qqnGtpo41v
'639464600459591680'	@KarinaMatka walk-up window 
'641120775534018560'	China's first museum dedicated to #DiaoyuIslands opened in Weihai, E China's Shandong Sept 7 http://t.co/eQ7cpFbfWq http://t.co/epearGOctX
'641903513690312704'	A man has died after plunging from a fourth floor window in Aberdeen city centre. http://t.co/xOwnUnTQSJ
'638663862410018816'	#HERO Saves #toddler Dangling From 4th-Floor Window Using Only A Mop http://t.co/D5Wlh3NIEv http://t.co/CpvZdoDXtX
'639175790920380416'	Rare snow leopard cub turns 100 days old in Jinan, East China’s Shandong province on September 1. http://t.co/JxYcGlb0s5
'639422777724944384'	How much is that Boba Fett in the window? Vintage #StarWars toys double in value http://t.co/D4ndd0fv56 http://t.co/cGoXpROzLk
----------
With article id: 4bc04c2f-2d01-42d5-8311-e4005950d20f and link: http://timesofindia.indiatimes.com/city/patna/Party-MP-calls-BJP-Baura-Jayewala-Party/articleshow/48765785.cms?from=mdr
'641832962997161984'	Election after election, the people of MP are reposing faith in the #BJP. I congratulate the party-workers for it: PM #Modi in #Bhopal
'638696491696156672'	Shivambu: Deputy Speaker, please do not allow this racist party (the DA) to refer to us as the nasty party.
'638696564022726657'	#Parly Tempers flaring; DA refers to #EFF as "the nasty party", EFF calls #DA "the racist party", motions of condolence fall by wayside GD
'647690710230020096'	BJP terms party MP R.K Singh's allegation that money has changed hands for tickets in #BiharPolls as baseless.
'642698509938913280'	RT @acorn: Wrong to think, as many do, that the only alternative to Party X is Party Y. The alternative is better Party X (and better Party…
'641822846474321920'	Shiv Sena, BJP ally, against the #MeatBan in parts of Maharashtra? Religious Connect meets Cultural Disconnect...
'638603921179586560'	Reform Party may need to change their name to Re-Form Party. #sgelections #GE2015 http://t.co/4WXmX29JnH
'642302921917526016'	who brought the party hats?! https://t.co/uTvYDbNm3D
'641697503180640256'	Green Party platform promises to expand rail, eliminate tuition http://t.co/QKDY2WY22Y http://t.co/fiBoWtzHpR
'641659866415767552'	Green Party platform promises cash for infrastructure, housing, without deficit http://t.co/cMJdqEkUtk #Elxn42 http://t.co/S0tu6tshXw
'643780872148140032'	#NewsAlert: BJP CEC meeting underway at party headquarters in Delhi.
'639132631213436928'	Since 1964, the Republican Party has become, in effect, a white party. http://t.co/8gurCYQNSH http://t.co/qM4BCjYjpK
'638741315803549696'	Mthembu says the DA today is a very different party to the one Helen Suzman was in. (Well, yes, I mean it was literally a different party)
'642157685270384640'	Mumbai Meat ban may be lifted as Shiv Sena gets back at BJP http://t.co/szDKh2S55F
'644903722191949825'	Differences between RLSP &amp; BJP regarding Jehanabad constituency seat: Sources
'641661115194212352'	Allies BJP, Shiv Sena lock horns over meat ban http://t.co/FqH85b3lsD
'647659394834935810'	Party selling tickets to criminals: BJP MP http://t.co/XQX0sA3yNf
'642900616998731776'	RT @ElectricDonkey1: @petertakis keeps the party going at the #ElectricDonkeyRun finish! http://t.co/B9Jmowjkyn
'646538794565406720'	Visiting Bjp maharashtra Pradesh Karyalaya to meet party workers there.
'643430338572722176'	Shiv Sena is angry because BJP has banned meat . Doesn’t the BJP realize that they should only ban things that the Sena want banned?
'639374408105070594'	@mahesh10816 BJP of course :) .Then more breakups in so called Janata Parivar  @vinaydokania
'641852178563493888'	MNS workers violate Mumbai #MeatBan. BJP lashes out at #MNS, #Sena. BJP justifies Mumbai meat ban. BJP: Ban is constitutional.
'638696491700367364'	Shivambu: Deputy Speaker, please do not allow this racist party (the DA) to refer to us as the nasty party.
'638729346769776644'	BJP is the most casteist party in the country. Why did BJP go to Mufti in J&amp;K?: KC Tyagi, Rajya Sabha MP, JD(U) #BattlegroundBihar @LRC_NDTV
'638658115546669056'	What #democracyweak2015? Planning to arrest another leader of a political party? https://t.co/dLFcc1jmeZ
'647607341421080577'	@lydiaclare the irony is he came from a minimal government tea party style party called the reform party
'638658349924417536'	RT @anuahsa: What #democracyweak2015? Planning to arrest another leader of a political party? https://t.co/dLFcc1jmeZ
'647703478148702208'	(@Arron_banks has since apologised for those comments about the only MP in the party he's bankrolling)
'641178437340762116'	RT @robtclements: @RobertLindsay about to do a party political broadcast for the Monster Raving Looney party?
'646529873368907776'	Green Party candidate, at odds with her own party, calls for niqab ban http://t.co/90VEMSGk88
'648461869817040898'	Ajay Pargal said BJP is committed to work for every section of society.Bharatiya Janata Party booth elections... http://t.co/k4xCeKjfLm
'640846464827035648'	BJP President Shri @AmitShahOffice holds 'Janata Darbar' at BJP HQ in New Delhi. http://t.co/visz8rzL4B
'641603131034308608'	Won't allow meat ban in Mumbai, says Shiv Sena Chief Uddhav Thackeray http://t.co/yXpzvZ2Qr0
'648405471632719872'	Bihar Polls: BJP Sold Tickets To Criminals, Says Party MP, MLAs Follow http://t.co/kJhGpOnOY8 http://t.co/IOw1iQDq3X
'646641628598398977'	Reservation row: Shiv Sena supports Mohan Bhagwat, takes a dig at BJP http://t.co/3B8c8KCX10
'646549527520915457'	RT @CNNIBNBreaking: BJP MP Shatrughan Sinha named in the list of campaigners for Bihar polls: sources
'642040789590233089'	wow RT @TheBeaverton: Conservative party member resigns after reading party platform out loud. #cdnpoli #elxn42
'639365890958426112'	As a very wise non-BJP, non-Congress MP friend once put it, "The SP is the most practical party in Parliament"
'647007408607391744'	Let's party #freedom #happiness #smile #party https://t.co/wlDhRkLP4s
'647784558306312193'	LJP agrees with BJP MP RK Singh's concern over people with tainted image getting party tickets in Bihar assembly elections
'644649131005333504'	@Blazing_Lino Sounds like it's party time.
'647664141528772608'	BJP denies its party member RK Singh's statement suggesting BJP giving Bihar tickets to criminals #BiharElections2015
'641858417942904832'	Shiv Sena chief Uddhav Thackeray dares BJP that sales of meat would continue.Watch more in #ITVideo on #MeatBanhttps://t.co/HxyU8nICc3
'639810563741118464'	BJP is the same party that objected to Manmohan Singh reporting to Sonia Gandhi: @ashutosh83B #TTP
'641781912722255872'	Won't allow meat ban in Mumbai, says Shiv Sena Chief Uddhav Thackeray http://t.co/yXpzvZ2Qr0
'646549515953029121'	BJP MP Shatrughan Sinha named in the list of campaigners for Bihar polls: sources
'638856387494178816'	Welcome to the #IoTForHome Twitter Party with @MerrittLBliss!
'647718175631503360'	#india #business : BJP tickets sold in Bihar, claims MP RK Singh, party trashes charge: Despite the potentiall... http://t.co/ts1WVvKv80
'643578196122800129'	Tonight!!!! https://t.co/92OfhyuTJP It's party time!!! @GloriaEstefan http://t.co/1R9MaDUEEM
'638696564165341185'	#Parly Tempers flaring; DA refers to #EFF as "the nasty party", EFF calls #DA "the racist party", motions of condolence fall by wayside GD
'639349631051169793'	Uddhav ​Thackeray asks Shiv Sena ministers to gear up, visit Marathwadahttp://t.co/WmRsYDW0PZ
'643656809291517952'	Chirag Paswan: 'Still in alliance with BJP, HAM, RLSP.'  #BattleForBihar
'639411808499961856'	Samajwadi Party splitting Janata Parivar over #Biharpolls shows BJP is finally learning art of statecraft from Congress
'639384421976555520'	For Mulayam soft BJP more profitable than united Janata Parivar http://t.co/IXGb6V99e7 http://t.co/hi9Z9aUisk
'641491182866952192'	RT @Bharatitis: Shiv Sena threatens to ditch the BJP if the meat ban is implemented. Will it, really?  @CatchNews
'638697035009511424'	With the #DA referring to the #EFF as a 'nasty' party &amp; EFF calling the DA a "racist party' perhaps the gloves are really off in Opposition.
'642898082644934656'	Shiv Sena cash in on Mumbai meat ban, fries BJP with vigorous protests http://t.co/LciTDxqsOj
'640836666802860033'	BJP President Amit Shah holds 'Janata Darbar' at party office in Delhi. http://t.co/4SFOCx4inG
----------
With article id: e2f6d043-d1b1-45d8-ae5e-34d03a081b18 and link: http://www.individual.com/storyrss.php?story=208938613&hash=a3969e555eb23245ae1920f889ce3e83
'649180183480696832'	Complex Managers (Need 2) at  Continental Search and Outplacement Inc   in   North Central, Missouri, United... http://t.co/a7aK93UXt0
'644176949838000128'	@DThaman Reporting both is critical.
'644506497855033345'	@Lenacsnrs @LAFD Well done to your dad and co-workers!  We provide alerts on our incidents to keep public informed.
'639216282890555392'	Today's interactive front page: Click the link - http://t.co/EzCf0cJyVm - then the circles to read the stories http://t.co/7SZA8oZWmm
'644579231586996225'	RT @mbuso_nkabinde: "NtombAce Holdings...Ntombi Ka Ace Holdings...Qabashwe Holdings...Bentungwa Holdings." hahahahahaha yhuuuuuuu. #NtombiA…
'639147735086702592'	@motherboard The link for this is a link to a different article
'639839458666381312'	“What others do and do not do is not our business, we are obliged to the job we have been charged by our faith and our history.” @RT_Erdogan
'645854747694534656'	Pricewatch readers queries: Vodafone bill for 11890 call just doesn’t add up http://t.co/GBLSecc4Ne http://t.co/FSIiJf05K7
'648964884156313600'	@JakeCanuso We understand your frustration and we have sent you the link to send us your complaint. This is then directed to our... 1/2
'645854745274421248'	Pricewatch readers queries: Vodafone bill for 11890 call just doesn’t add up http://t.co/yA2I1iteeW http://t.co/0slFtIT6UH
'648668855942926337'	am loving @BernieSanders
'644269290003283968'	PDX offers numerous ground transportation options that provide easy options for getting to and from the airport: http://t.co/FQScblIA9A.
'639026040187260928'	@Catheri68588958 we apologize. You may monitor the research of the luggage through the WT. Have a look at this link for &gt;&gt;&gt;
'647325433806065664'	@vmaggio2 Yes of course you may ask us for anything. Under this link you may have also the possibility, to inform you about the ... 1/2
'646535617338191872'	A pharma CEO tried to defend his decision to jack up the price of a critical drug by 5,000% — and it… http://t.co/3qGb11725e #Finance
'648669438149922816'	@PhuzzieSlippers (I think that's what happened, based on little I read)
'648669410907963392'	Ex-Princeton student sentenced to 5 years for mailroom drug bust http://t.co/5e7CCpBUOB
'638606487632392192'	Have been encouraging stock exchanges, MFs to undertake investor education: SEBI Chairman
'645425384876548096'	Critical time here for #Bama.
'639908571929538560'	VIDEO - $MNKD Stock Technical Analysis - 09-04-15 - watch here: http://t.co/xxaH70Viua #stock #stocks #stocktrading
'643297656366731264'	Misunderstanding pushes phone bill to an ‘unusual level’ | Pricewatch reader queries http://t.co/AEPD0lQwT6 http://t.co/qkGDWz6yzy
'641190898110435328'	@MicornusZamp We can only try and link you up with the relevant persons to assist you as we are Communications and Marketing/PR^TK
'648676682526760960'	Think the Pirates have left as many on base as the Packers have points tonight.
'648973802144169984'	@bhamiltoncx We're sorry but our ground staff in SJC are the best equipped to provide the available options for you.
'644605124707516416'	@azankich The link seems to be working for us, Alex. Have you tried opening the link in a different browser of on a different system?
'648417288673226752'	@Love4Haters &gt;&gt; by a different SkyTeam partner, please choose the concerning airline via this link and see the rules for this particular &gt;&gt;
'639128498385371137'	@iwanprice4 Hi Iwan, I'm sorry to hear about this. Please see this link for your entitlements: http://t.co/9qVm4267CW ^Ioanna
'648669440616235008'	Globally, more than 2 million plastic bags are used every minute. http://t.co/E8i2HoE7iv #OneSmallThing @boxedwater http://t.co/iRIDKNTzXi
'641411817210679296'	Critical MoustASSche. http://t.co/1D4c0424dp
'638886441783791616'	@gsmcmahon 1/2 Our Compass Customer Service Centre will have stock, but you can also use this link to ..^LA
'639951077807362049'	Share the web instantly by tapping the action menu in your Browser and selecting Share
'641569787332698112'	RT @WorldHistory101: On this day in 1776, the name "United States" (replacing "United Colonies") was adopted by the Continental Congress. h…
'639578527545757698'	Critical third down here...
'648675235504463873'	Want to volunteer at #LAUNCHScale and/or #LAUNCHMobile?  Apply here: http://t.co/zXeEtxziNb
'638607022552801280'	Have been encouraging stock exchanges, #MFs to undertake investor education: #UKSinha , Sebi Chairman http://t.co/ZXPGfJwSDv
'638606617106247680'	Have been encouraging stock exchanges, MFs to undertake investor education: #SEBI Chairman UK Sinha
'648668849609527296'	RT @WeAreCardiff: Swap it! Get in on the design competition from @GreenCityEvents  http://t.co/lvpWl9Qe5O
'639086278147997697'	@BVB_UNBROKEN_ Have you tried to license restore the personalization pack? See this link for help - http://t.co/3UYqo2j39X ^KO
'648669444768567300'	@ealboim makes perfect sense. He's the best. And this debate used same format as previous consortium debates. 1x1 + open debate. Worked.
'640273630824431617'	Our trading alerts system works and we have the stats to prove it…  http://t.co/a49uKaZphQ
'648669369917046784'	well that's a pretty normal average videogame controller that is not weird if I ever seen one http://t.co/R2anE8zavv
'641986934106099714'	#VMware Horizon View 6.2 Released – What’s New? http://t.co/YQjvVyRA4J
'638948239383896064'	@Jasounited I have now, thanks for the link. @lehtior2
'645883286217191425'	FOLLOW @DriveTimeAlert for the latest #chstrfc alerts and issues. #chsnews
'648675260263325696'	@lifeinanutshel Right? I got totally lucky and just snapped it at exactly the right moment.
'639769140622823424'	@terry4al79 We are re-tooling them, so we do not have text alerts right now. You can still get alerts through our news and weather apps.
'639136016226516992'	@AlistairBReid1 Hi Ali, I'm sorry to hear about this. Please see this link for your entitlements: http://t.co/9qVm4267CW ^Ioanna
'643297648103915520'	Misunderstanding pushes phone bill to an ‘unusual level’ | Pricewatch reader queries http://t.co/lksnnJ8yuf http://t.co/4bEFzyl0Zm
'639170446651342848'	@Vivaciously_Val Can you share the link to the article? Would love to read it all.
'640015254810836992'	@HaseenahKoya For all the policy work that we do, we have zero insights or context to our key issues.
'639043102313959424'	Lot of viewers asking about Geeta Press statement on @ZeeNews report.We have already replied and put our point across.Sending the link..
'643574356468236288'	@mackyuen We did send out alerts and Tweets about the fire. Do you subscribe to alerts? ^LA
'647337279787278336'	RT @CambridgeCops: Sign up for critical alerts from Cambs Constabulary by selecting the 'bell' icon on the @CambsCops account ^PC513 http:/…
'647306187730493440'	1/ On @BBCgmu now, we have reaction to critical comments about the @duponline and @sinnfeinireland by the @SDLPlive leader @AlasdairMcD_MP.
'648512137825009664'	Its price watch time with @conor_pope on #RayDArcyShow now - email your queries pricewatch@rte.ie
'640526819754700800'	Is there maybe a @TrainingPeaks Apple Watch app on the horizon? Would be great to have critical CTL, TSB and PMC data available as a Glance.
'649180296781258753'	Grow-Finish Site Supervisor at  Continental Search and Outplacement, Inc.   in   Western, Oklahoma, United States... http://t.co/dIHsfpzji5
'648926876669485061'	@DiscoveryComm Stock Sinks on Company's First Investor Day $DISCA http://t.co/DGCgJZiVbv http://t.co/zDPpOUVV1w
'641762019792678912'	UPDATE 3-New United Continental chief moves to calm investors, employees http://t.co/L3Pddhcjos
'640888261158637569'	Also on the #RayDarcyShow, @conor_pope has #PriceWatch and Daniel O'Donnell chats about the launch of @bbcstrictly on http://t.co/pYTXaDmagP
'642030768173223936'	RT @EmoryNursing: Tweet us your #AdviceforStudentsThisYear for a chance to win a signed copy of the book "Critical Care" by @TheresaBrown. …
'638606570042052608'	Have been encouraging stock exchanges, MFs to undertake investor education: #SEBI Chairman
'638989573230592000'	RT @PharmaNewsDaily: Pharma News: Alexion secures approvals to market two new drugs in Europe: US-based Alexion Pharmaceuticals has... http…
----------
With article id: ef756748-9863-44d6-8cfc-66cbf0ccd975 and link: http://www.timeslive.co.za/sundaytimes/stnews/2015/09/02/Reporting-on-crime-encourages-young-people-to-commit-crime---Hlaudi-Motsoeneng-video
'638905862829015041'	Man, governments really don't like Journalists do they. I wonder why? #FreeAJStaff #FreeViceNewsStaff
'648663154365440000'	@pmarca @a16z @Medium @ev AWESOME
'644828478819430400'	RT @AldrinSampear: #Hlaudi's Counsel: my concern here is that Motsoeneng should not be suspended #SABCNews
'638714674649919488'	@Medium thank you
'646062604515966976'	RT @NiemanLab: New from The Onion: @StarWipe, a parody celebrity gossip site. http://t.co/V6SNaZznk8
'639008415457628160'	Methinks we should test Hlaudi Motsoeneng's theory and not report on crime for a week.
'648314977716187136'	RT @StarWipe: This Week's Cover http://t.co/a4MG6AJ5GV
'638995366315171840'	@Cordelia_TV often just as important as what they DO say.
'644989486468870144'	RT @StarWipe: We are StarWipe: The last and most important word on inanity. Coming Sept. 21st. http://t.co/caFNELqYad
'639108126474653696'	WATCH: Journalists dont do what they are supposed to do" says SABC's Motsoeneng http://t.co/oym1zxHXCZ
'646011303711129600'	The Onion launches StarWipe, a spoof of TMZ and other celebrity gossip sites. http://t.co/isNHDOWUOa
'639080407972057090'	WATCH: Journalists dont do what they are supposed to do" says SABC's Motsoeneng http://t.co/QUDHd3U0jE
'642349514225946625'	Via @hhbridges: Mackay - Incident, Dartmouth bound medium / Halifax bound medium volu... #t
'638615510192623617'	RT @waldimar: Hlaudi Motsoeneng last night in Insig: If you always report on crime, you encourage young people to commit crime.
'646049008926875648'	Chicago (IL) Tribune-Business: Onion launches StarWipe celebrity parody site
'645979300227891200'	The Onion's new celebrity gossip site "StarWipe" http://t.co/1YOylTL751
'639046027094441984'	RT @mailandguardian: #Motsoeneng accuses journalists of relying on each other &amp; not finding out the facts for themselves. @SITHOLEEXPRESS h…
'645230247038750720'	@ktgibbles @Medium Thank you!
'638957485899055108'	WATCH: When you keep reporting on crime, you encourage crime - Hlaudi Motsoeneng http://t.co/lAJrcLTzAx http://t.co/dYOmnyoSH0
'644819613264519168'	#Hlaudi Justice Ponnan talks about lack of action taken after the PPs report - yet Motsoeneng was appointed in the light of the report.MV
'644881083964612608'	'Motsoeneng must be suspended during any disciplinary process' http://t.co/22J3xtOBZS http://t.co/TwfrV4GIDV
'638607949192134656'	Hlaudi Motsoeneng last night in Insig: If you always report on crime, you encourage young people to commit crime.
'644808576901455872'	MT @charlduplessc: #Hlaudi Justice Ponnan: I’ve read about a 1000 pages &amp; I still don’t know what Mr. Motsoeneng's highest qualification is
'639048668721623041'	RT @MelanieWebbSA: Just when we thought Hlaudi Motsoeneng couldn't say anything more foolish: "reporting on crime encourages crime"! SMH ht…
'644635697912131584'	RT @StarWipe: Think you know Chris Hemsworth? Maybe you don't. http://t.co/DFmVGY8tp3
'648623490086535168'	@StarWipe @TheAVClub @BrunoMars 80% even!
'648550980020252672'	RT @StarWipe: This Week's Cover http://t.co/a4MG6AJ5GV
'640088058013032448'	Reporting on crime by the media encourages young people to commit crime - SABC chief operating officer.
'648693018359304192'	Medium raises new cash while Facebook gets more Medium-like via @FortuneMagazine @mathewi http://t.co/loym1KKMqo
'639135893085921280'	WATCH: Journalists dont do what they are supposed to do" says SABC's Motsoeneng http://t.co/gkJVlsDVF4
'638977349099253760'	WATCH: SABC’s Motsoeneng wants media policed: “Journalists don’t do what they are supposed to do. When they re... http://t.co/hIn0SS80qQ
'638958075009978368'	Reporting on crime encourages crime.Riiiiiiight
'648656555403968512'	RT @MediaREDEF: News Is Different (@davepell - @medium) http://t.co/ZFOBGH2LEM
'638608052934037504'	RT @waldimar: Hlaudi Motsoeneng last night in Insig: If you always report on crime, you encourage young people to commit crime.
'641579176345137152'	When Nobody Reads your Medium Post — Curiosity Never Killed the Writer — Medium https://t.co/GqAcX1A8Bp
'638994809185767424'	WATCH: Journalists dont do what they are supposed to do" says SABC's Motsoeneng http://t.co/U09MzxdEeV
'646036701366779904'	The Onion launches celebrity parody site “StarWipe.” http://t.co/MQCagFSsyf
'639032601618026496'	“I am lobbying big time for the country to regulate journalists as a whole,” #HlaudiMotsoeneng http://t.co/kFbpu3seHm
'648919658070867969'	@Quan @Medium there now
'639296980339019776'	RT @mailandguardian: SABC's #Motsoeneng says media reports on crime "encourage young people to commit crime". @SITHOLEEXPRESS http://t.co/B…
'644830435357368321'	RT @KatyKatopodis: Hlaudi Motsoeneng’s council grilled by SCA judges http://t.co/dC0FibVN3a via @ewnupdates
'639223015947898880'	@angrythrashdude they are a problem. As is the community. No one is denying that. You don't even know what they are saying, yet attack
