With article id: 7ba01d52-a333-461d-bd91-a3bd9d5c043c and link: http://www.express.co.uk/sport/football/604700/Transfer-News-Chelsea-Pogba-Manchester-United-De-Gea-Liverpool-AC-Milan-swap
'640695064524525569'	Low unworried by Gotze´s Bayern troubles http://t.co/5L74AJQrvI http://t.co/N2Q2WCVKS1
'641603154144989186'	RT @livefootball: Bale to snub Man Utd? Pogba rejects Chelsea? De Gea to be No.1? Back pages for Wed, Sept 9thhttp://t.co/bFVWA4SoMD http…
'642405961399861248'	De Gea set to sign £200,000-per-week deal at United - http://t.co/cytrYKR1WS
'643880348074446849'	Pogba incisive and Mandzukic finishes 1-1 #ManCityJuve #UEFAChampionsLeague #HTCTheOne
'648573306971537408'	Boring next sunday.Arsenal-Manchester UnitedBayern Munich-Borussia DortmundMilan-NapoliAtletico Madrid-Real Madrid
----------
With article id: b88cbbed-d9b5-47e1-8ef1-cb5361e3544d and link: http://uk.finance.yahoo.com/news/airbus-u-plant-cheaper-france-152712027.html
'641369918877777920'	United Airlines chief executive steps down amid corruption investigation http://t.co/MhomQcRO7c
'644221804727398400'	Look Inside the First Ever U.S. Airbus Assembly Plant http://t.co/uMjOBjOyeN
'641864770388393984'	FFA chief executive David Gallop has confirmed @TheMatildas tour of the United States has been called off. #football
'642896298127966208'	Airbus U.S. plant cheaper than France, Germany, CEO tells paper http://t.co/HfZ9SjvwWi http://t.co/hULSfmMLJE
'639953999148486657'	@Airbus I totally know my Airbus trivia http://t.co/zvKfxiEgtf
'639076395528945664'	@Charlie58523127 Hi, the aircraft is an Airbus A32. Four of our aircraft have sharklets so it is a bit of a surprise which one you get. ^JR
'643286822039064576'	WSJ Latest:  Airbus to Open Jetliner Plant in the U.S. http://t.co/JotmwV8YBB #ChinaNews
'643303942634532864'	Airbus has room to grow Mobile production site in the U.S.  http://t.co/0PXsNhrIYl
'642663566370308096'	@Cptwilko It's due to an issue w/ the original aircraft which meant we had to bring in an alternate. Apologies for the disruption ^G
'643793288835821568'	Via @aldotcom: Airbus Celebrates Opening of its First U.S. Plant in Mobile: http://t.co/g2maUpLitB
'643542196080234496'	RT @MobileChamber: Hey #MobileAL - Nothing's better than a 3rd party endorsement. See what @Airbus executive Fabrice Bergier thinks: https:…
'642684639539298304'	RT @ClintSmithIII: Native Americans were told they could either "become civilized" or be exterminated. Those were the choices. Assimilate o…
'642613259539976192'	@Archiemurp Hi A;eaxander, the delay is due to the late arrival of the aircraft. It shouldn't be too long now!
'643471226711724032'	TROPICANA D'HAITI at @karibehotel on #sept26th with guests such as : FABRICE ROUZIER @two… http://t.co/CvkhSWqY0A http://t.co/HDjCyOo0pC
'643472850079363073'	And there it is, folks! Affixed by @Airbus' Fabrice Bregier right here in #MobileAL. @alnewscenter #AirbusInAlabama http://t.co/H7JUq9Gv2B
'643430633432346624'	Airbus set to open jetliner production plant in the U.S. http://t.co/F8zjuPuqoi by @R_Wall
'644688526773108736'	QE byproduct: Surge in U.S. dollar credit to non-banks outside the United States http://t.co/DfunDLMOMx http://t.co/QBJWISli8F
'643431513875419136'	With Fabrice Bregier, President of @Airbus http://t.co/xQQ6rg5vO0
'642490085699555328'	Only in the United States could someone go from "filing paperwork ... To running for president." @CarlyFiorina at @NFRW conference
'639587721472835584'	RT @RBStalin: That people buy into Trump's image of supercompetence speaks to some deep executive mythology in the United States.
'643432304581476352'	Updated list of non-U.S. companies that build civil jet aircraft in the U.S.: Bombardier, Embraer, Airbus.
'648478266534170624'	Airbus CEO talks about the company's future in the U.S. defense market -  http://t.co/uAWXRORf4O
'647999712402890752'	UN chief 'extremely concerned' about Europe migrant crisis: UNITED NATIONS, United States (AFP) - UN Secretary... http://t.co/26kEXwS07G
'642724596425199616'	Airbus US plant cheaper than France, Germany, CEO tells paper: The United States will be a cheaper location fo... http://t.co/sQFMR9dISp
'642657865665155072'	@speedypoodle  The seat assignments changed because the aircraft was swapped for operational reasons. ^JJ
'646693644431437824'	@GoogleKnowsUs Airbus flight tests. You can track Airbus flights via the "AIB" callsign filter.
'641349935221223424'	Wow!!!!! "United Airlines Names Oscar Munoz Chief Executive Officer." http://t.co/g8DrrMYBrO
'642898142606680065'	Airbus U.S. plant cheaper than France, Germany, CEO tells paper http://t.co/tkILZ5sUJ6 http://t.co/IS7vk46GdD
'645102337674072064'	@canad1rblx Yes, we will be expanding our fleet with additional Airbus aircraft in the future.
'643434920455442432'	Great to be in Mobile with @airbus Pres. and CEO Fabrice Bregier to celebrate the grand opening of @AirbusInTheUS. http://t.co/izexWqDu4s
'642609302470066176'	Under the Basic Law, the legislature has the power to impeach the chief executive. So how can the chief executive be above the Basic Law?
'644674288272863232'	UN chief demands Burkina Faso military show 'restraint': UNITED NATIONS, United States (AFP) - UN Secretary-Ge... http://t.co/uFSVDmlwb6
'644702368395714562'	RT @pdacosta: QE byproduct: Surge in U.S. dollar credit to non-banks outside the United States http://t.co/DfunDLMOMx http://t.co/QBJWISli8F
'643445133933969408'	RT @Airbus: "Today is a moment of pride for all Airbus people, everywhere" - F. Brégier - Airbus Pdt &amp; CEO  #AirbusInMobile http://t.co/4O1…
'642543741471817728'	@philgpearson Sure, people can get cheaper but it seems a bit daft to suggest, say, The Hub is overcharging for drinks.
'643202012134309888'	@FlyingPhotog @Airbus Neat!
'643096612059877376'	RT @GerardAraud: Going to Mobile/Alabama for the inauguration of a Airbus plant. Airbus an European company but also a full actor of the U.…
'641229780818522112'	@Airbus @Finnair Superb!
'642731434424209408'	Airbus US plant cheaper than France, Germany, CEO tells paper http://t.co/EE9VRbH9F1
'641485629029789696'	United Airlines chief executive steps down amid corruption investigation http://t.co/F5owcekTfo
'643470042491944960'	Airbus opening first U.S. plant on Alabama coast http://t.co/TPPcbL0Krn
'641742813718278144'	@muhammad_fall @Airbus Thanks for sharing! Regards Miri
'642623469822287872'	The refugee crisis could actually be a boon for Germany http://t.co/C0MQzPxuOw
'643457959180271616'	RT @Airbus: The 1st U.S.-made Airbus aircraft will be an #A321 to be delivered to @jetblue next spring #AirbusInAlabama http://t.co/ekRnSe9…
----------
With article id: 6d9aec53-8d75-4e94-9535-23ddbb2841e2 and link: http://www.cbsnews.com/news/is-floyd-mayweather-really-retiring/
'642818535794831360'	@jasondj @IanAustinMP but no-one is sure if the steak is real, is or tastes as good as his people say it will
'642056214252118016'	Boxing needs Floyd Mayweather Jr. more than he needs boxinghttp://t.co/OUHnUWHevB http://t.co/Taw1Uzr1g0
'642778426844184576'	Scott Walker tells me he was a little too Midwestern nice in the last debate. This time his plan is to be more aggressive. But not rude!
'642918612517421056'	Floyd Mayweather beat Andre Berto by unanimous decision in their WBC/WBA Welterweight fight in Las Vegas. #SSBoxing
'642919737865973760'	Floyd Mayweather Jr. has defeated Andre Berto in what Mayweather says is his final fight.
'641968826712764417'	RT @ThabisoMosia: hehe YEP money talks and bullish runs marathons @DenzilTaylor ThabisoMosia .. Let's see if it's #mayweather's last fight.…
'646255601425715200'	The new @Tate Modern will open to the public on June 17 2016, @Tate announced today.
'642572120510197760'	@sal_castaneda Looked like he had a little twinkle in his eye as he talked about him.
'642918361295286272'	Will Floyd Mayweather fight again? #MayweatherBerto
'639148540015603712'	@abrams @ProductHunt @kayvz @hunterwalk @rsarver FIGHT FIGHT FIGHT
'639175931244863488'	@AlyssaRosenberg chronicle meets little man Tate. Easy peasy.
'639240055026937856'	Floyd Mayweather addresses the comments that this isn’t really his last fight http://t.co/q8dPK8DXS4
'642509124811395072'	Floyd Mayweather Jr. says tomorrow's fight against Andre Berto will be his last. STORY: http://t.co/3HchYlNpfV http://t.co/rAni8qyOxO
'644316692324159488'	@MBennettSmith fight! fight! fight!
'642608124902268928'	RT @rapplerdotcom: Disappointing ticket sales for Mayweather's 'last' fight http://t.co/T33OemG4No http://t.co/nGIVfsiFzN
'643046170433089537'	RT @5liveSport: Where does Floyd Mayweather Jr stand in the list of all time boxing greats?His record 49 fights - 49 wins http://t.co/lnc…
'641526591173054464'	Even those closest to Floyd Mayweather Jr. don't know if he'll keep fighting http://t.co/TH62KOBBIR http://t.co/kEpk4CpVCK
'639021113150963713'	@mizznhee @LuthandoRT Fight! Fight! Fight! 
'643819158950445056'	Keidel: Does Anyone Really Believe That Floyd Mayweather Jr Is Retiring? http://t.co/34OkK4QUzY
'642620944008110080'	Mayweather insists Berto is last fight of perfect career http://t.co/IhSVftPihd
'641962601748918272'	Boxing needs Floyd Mayweather Jr. more than he needs boxing http://t.co/478XNx4NRv #vegas http://t.co/L4f1TbGtnz
'642986135807913984'	Floyd Mayweather beats Berto by decision. He says this was the final fight of his career. http://t.co/4InxH553V9
'644996868561354752'	@aa_prevost Doesn't seem like a problem to us 
'642629680797913089'	@___luk Looks like it. But a blood exam is necessary in this case to confirm it :)
'638774590060146688'	Chad Dukes has your tickets to see Floyd Mayweather Jr. in his “last fight." http://t.co/BftKAB0ZYI #MayweatherBerto
'643107412824690689'	Floyd Mayweather retires after another win in Las Vegas | ChimpLyf http://t.co/0dszCOKb48
'638687361862385664'	@pisgahpartners Interesting point, although it doesn't seem to have done natgas and coal much good!
'646836103325052928'	@PARecSpecs I'm sitting Golden Tate for Watkins too.
'645299035599933440'	RT @lesmorgp: @LethaboTumelo @osipuka. .....@Springboks your John Tate moment?  Mshaye John Tate... uthath' ama-chance . #transformation
'644149422947831808'	#JackThriller #UnsignedThriller: King Tate (@dareal_kingtate) Ft. Big Jay – “Grindin”:   King Tate drops off a... http://t.co/1rruBCmtZF
'644842896718491649'	@Jam_sponge @NathanDitum FIGHT FIGHT FIGHT
'641547535560110080'	@tomstandage @pcwilliams fight, fight, fight!
'642986443682500608'	Floyd Mayweather beats Berto by decision. He said it was the final fight of his career. http://t.co/4InxH5mFjJ
'642905813623963648'	Mayweather-Berto is underwayMayweather has not won a fight in the first round since May 1997
'642919075203710977'	Floyd Mayweather Jr. improves record to 49-0, beating Andre Berto at MGM Grand Garden Arena in Las Vegas - @SInow http://t.co/daGc90t8SI
'642993708770594816'	Floyd Mayweather beats Berto in farewell fight in Vegas http://t.co/u8eqIbnHvk via @IrishTimesSport http://t.co/AU3WxyboIR
'642934213474299904'	Boxing-Mayweather beats Berto in ring farewell: LAS VEGAS (Reuters) - Floyd Mayweather Jr. cemented his place ... http://t.co/rsZOycfmi4
'642553001979215872'	With his 'last fight' set for Saturday, Floyd Mayweather’s legacy seems more… http://t.co/qpSV3WeAdm #vegas http://t.co/m6DVJgaYiX
'647374877570256896'	@NathanDitum FIGHT FIGHT FIGHT
'641000298421583872'	RT @LorenzoWhitehe5: @PaulFromFox5 @GoodDayAtlanta @DeidraDukesFOX5 fight fight fight! Lol
'647639597841694721'	Farmers fight! Farmers fight! Fight! Fight! Farmers, farmers fight! Whoop! #MidnightYell #BTHOarkansas http://t.co/qWZDk9tl4U
'643440449982742528'	@ericsundy FIGHT FIGHT FIGHT FIGHT FIGHT
'640091749793300480'	Floyd Mayweather whose Sept12 fight agst Berto is his last says he's sad about retiring &amp; the thing he'll miss most will be 'jealous haters'
'642621639151235072'	@mayormaher01 MB will reject his candidacy and undermine it in all ways possible - he seems to be one of the least favorite in Misrata too.
'641734270306906112'	.@ElevationBeerCo's 8 Second Kölsch manages to pack a lot of punch in a delightfully sessionable beer. http://t.co/5GCkcgKIBD
'642513752798183425'	Floyd Mayweather Jr. wants 'healthy' post-boxing life http://t.co/Tdp7VWCIHD
'643125250641625089'	#ICYMI: Floyd Mayweather beat Andre Berto last night. Mayweather said it was his final fight: http://t.co/4158SRlmLo
'639705588973346816'	@NikGrmek @pentacog thought about it, but doesn't seem like there's much to it...
'642887187369992192'	Is this really the last we'll see of Floyd Mayweather Jr.? Follow along with tonight's fight at http://t.co/McuDvqDAN6.
'642715913234595840'	RT @njudah_star: This game is crying out for a certain @SBerahino. It's surely just a matter of time...but what will his reception be like?…
'648372767293882369'	@manytatesuchwow Hi Tate, you sure can. :) ^MV
'642887961441341441'	Live updates: Floyd Mayweather vs. Andre Berto, at MGM Grand in Las Vegas http://t.co/UgqilxSXc2 http://t.co/XFMpNILWLX
'642475358743343104'	Floyd Mayweather insists his fight with Andre Berto is his last http://t.co/ph5lDNh0sS http://t.co/6LgsS96NZg
'642919125069656064'	RT @BreakingNews: Floyd Mayweather Jr. improves record to 49-0, beating Andre Berto at MGM Grand Garden Arena in Las Vegas - @SInow http://…
'642937747083169796'	Floyd Mayweather beats Andre Berto in his final fight, ends career unbeaten http://t.co/x7uKs17uJl
'642935632998760448'	Mayweather Dominates Berto, Moves To 49-0: In a fight that went as many expected, Floyd Mayweather Jr. (49-0, 26… http://t.co/HfBho3Cdix
'641271323583496192'	@WMFireDogs @Tate Don't give up the day job...
'640446033349230592'	RT @Tate: Morning everyone! http://t.co/cFh1iZDRLq
'644630384358105088'	Fight fight fight #bbcqt
'640760317484470272'	@ChinaBoxOffice $1.9m doesn't seem like much? Its winding down?
'644322113390817280'	@reillyadam Last Rousey fight I went to bed at like 12:30 and watched it in am. Fell asleep during Mayweather's "last fight" on Saturday.
'642574779929657344'	.@FloydMayweather insists @AndreBerto is last fight of perfect career http://t.co/xUt7MBay0H http://t.co/JPUpR51xWJ
'642928232745017344'	RT @foxnewsradio: Boxer Floyd Mayweather wins in his last fight and remains undefeated.  http://t.co/vQxYMegPzb
'642931463399174144'	Floyd Mayweather Jr. on retirement, "I've accomplished everything," he said. "I've done everything in my sport." #MayweatherBerto
'643068883864317956'	Floyd Mayweather Jr. says "my career is over" after moving to 49-0 http://t.co/KMOxPuCWJu
'639587790427066368'	We see you Tate #Bengals
'640330701741682688'	@Olivianuzzi That doesn't seem a productive use of time.
'642587706476875776'	Disappointing ticket sales for Mayweather's 'last' fight http://t.co/T33OemG4No http://t.co/nGIVfsiFzN
'646237509865738240'	UFC: After first loss, Correia targets Tate http://t.co/BZOKhNCi6H
'642919593971945472'	“Hopefully someday we can find the next Floyd Mayweather” - Floyd Mayweather
----------
With article id: 58bba8c3-41c6-43cb-953c-40ff68b343fc and link: http://smh.com.au/queensland/must-do-brisbane-best-continental-delis-20150913-gjlkjt.html
'640670978322731008'	BREAKING: the body of a 6 year old girl has been found at a home in Kedron, north of Brisbane
'641285484816109568'	@negrino I’ve never had the wild boar salami. I’ll have to look for it at local delis. Hard to find in general though.
'647671278678200320'	500,000 people expected on Brisbane River to watch spectacular #Riverfire celebration. @JoelDry9 reports #9NewsAt6 http://t.co/lWqzI2f5vM
'643085927104008192'	Nothing good is going to come out of any of this. I hope some journalists are still in the city. And that the decision is reversed. #Cizre
'642909143712595968'	It's the end of the third and the #Tigers are up 21-6 but the #Bulldogs are threatening.... #4thQuarter
'643120813894422528'	The #Nats are threatening here in the third with the bases loaded and Ian Desmond at the plate.
'647962642993315841'	A Brisbane student is petitioning for @TurnbullMalcolm to consider a hefty pay cut: http://t.co/sOYFouMjXF #Today9 http://t.co/Fhb8g5yYhJ
'643022753709355008'	RT @carlbildt: The new members of Parliament of Ukraine are truly pressing for reforms and a new Ukraine. Old forces holding back. http://t…
'646034875800231936'	The 8 Best Jewish Delis In NYC http://t.co/hcCBg1hnRZ http://t.co/Lv4awiZfBj
'642735771246559232'	RT @NW6Ave: @WHampstead It's continental deli in NeasdenShoppingCentre.Amazing choice of cold cuts,cooked dinners,bread &amp;drinks http://t.co…
'646495101024206849'	RT @LIMER35: Sausage and Meatballs  #italianfood #italiandeli #mydayinla #dtla @ Eastside Italian Deli https://t.co/DIlz3ljB2T
'647497659750719488'	NO! THIS ISN'T THE TIME FOR US TO GET DOWN. WE MUST DO OUR BEST.WE MUST WORK HARDER, SMARTER.
'639725283260637184'	RT @DlaminiZuma: We must always aim to do our best, no matter where you are!
'642699262548033536'	Must See Must Do: 13 best bets for fun in and around #COSprings this weekendhttp://t.co/V8Ri340pWU http://t.co/QwA6B0rNFA
'641760672443858944'	@sirosenbaum have you seen Deli Man?
'643145291567382528'	@ZheelaJ Decades of war broke the social fabric of Afghanistan and violence is often seen as a first or only option of conflict resolution.
'638758960242159616'	In Pursuit Of Presence And True Immersion:  The experience of “reality” is a result of our sensory organs deli... http://t.co/Y6P2jsrcmX
'643048257308987396'	Despite historic lottery sales, New Jersey's budgeting for the lowest rate of return in decades after outsourcing http://t.co/2PhVY0prAk
'649246087757361152'	Domand Deli — one of the last of the Bronx Italian delis, still piling the pastrami high. http://t.co/uPhsKku1p8 http://t.co/q6oOYhuGbO
'643051818361200641'	@Pontifex: The worship of the golden calf of old has found a new and heartless image in the cut of money... http://t.co/2l1jMRrima
'645515510667284481'	@timohotti "We must do something. This is something. Therefore we must do this."
'641926566792966144'	An Evening with Kristi Yamaguchi and Alpine Lace Deli Cheese #LifeIngredients http://t.co/5QPE0UuaOU
'643829606542372864'	@preskill @Caltech Long overdue.  Could have also added "&amp; Delicatessen".
'644950591727398912'	the dope deli does it again
'646228933000626176'	RT @jennyweather: Beautiful end to our warmest day since May. 29° the top. #Brisbane #ABCNewsBrisbane http://t.co/AxCIe7xU4C
'647309748052865024'	RT @9NewsBrisbane: TONIGHT: Brisbane abuzz as the Broncos and Roosters prepare to do battle. @tmitch_86 is LIVE from Suncorp #9NewsAt6 http…
'640333626874331137'	Bryce L.'s Review of South Coast Deli - Santa Barbara (5/5) on Yelp: Wish we had a deli like this where I live.… http://t.co/AqK9voi45A
'646911899880128512'	RT @BelindaSeeney: Catch the choppers over Brisbane yesterday? F/A-18F Super Hornets will buzz the skies tomorrow: http://t.co/uUcva85VRQ #…
'639649944136232960'	A David Simon miniseries about the cyclical saga of the deli near my house losing and getting back its cigarette license
'648381263934427136'	Deli owners share Polish heritage in Adams http://t.co/q4ScYYQVcH
'646668446516793344'	@blakehounshell @ByronTau Byron is right about the Greek Deli
'646162428942651392'	@OmaidSharifi Where is Continental Hotel? Do they mean Intercontinental you think?
'643251943599644672'	They reportedly robbed delis, gas stations, a delivery truck and even a beauty salon http://t.co/RQ15dWOpdG http://t.co/Y4tcWT0KRr
'640263412195459079'	Deli sandwich before the turn up ..
'645728922018160640'	Night Twitter. Continental breakfast tomorrow I think.
'642620851779715072'	About a third of the most fertile soils of the world are in Ukraine.  And global demand for food will grow very fast in the decades ahead.
'647611012036751362'	Man charged after allegedly punching two #Brisbane police officers http://t.co/1w3l3uPhSJ
'646350967214989312'	RT @andypvd: "There are two kinds of people in this world, those who love Delis and those you shouldn't associate with." Damon Runyon. #foo…
'643099858577006592'	Our hearts and prayers are with the people of Saudi Arabia and families of the pilgrims inflicted by the tragic crane accident in #Mecca.
'641600970435219457'	Just at the deli. Deli guy said "what'll you have" I said " A bacon and egg on a bagel with a side of smile". He laughed and served it up.
'638697241503485952'	Five reason Brisbane loves spring http://t.co/SMWs7fHSz4 http://t.co/HdkIq9EAtg
'643703183865327616'	BLOG:  10 things you must do in Brisbane and the Gold Coast http://t.co/KsZHfrIvgD #thisisqueensland http://t.co/7b6AkFBSwO
'640621180223942656'	@Barlossantana yes! Must do post!
'646582049156014080'	Welcome &amp; good luck to new Caversham delicatessen @lewisandjames1 selling fine foods on Prospect St in #Caversham. http://t.co/jKfVALRHgl
'645868695919685633'	The Queen’s Wharf Brisbane and the jobs boom coming our way: http://t.co/JAK6r8aWQ4
'647353918888906752'	10 min: Hunt try. Brisbane 10-0 #NRLprelim1
'643877480596668416'	A new film is being shot in Sask. A love story between a deli clerk and a pro-wrestler. The producer of @ChokeslamMovie will be on today.
