With article id: c8005766-131a-441a-bd69-00adaa3901f7 and link: http://www.watoday.com.au/environment/conservation/environmental-philanthropist-rob-purves-warns-that-green-groups-under-attack-20150918-gjpavd.html
'644301013155876865'	Riveting group shot here
With article id: f3e77194-46c0-4588-b2a8-41bed1a200d8 and link: http://www.thehindu.com/news/national/karnataka/he-earned-two-degrees-and-a-diploma-in-jail/article7667352.ece
'648518085037719552'	@johnbates so honored to have you at KSC today!
'645192475414560768'	"officers RSP involvd in kidnapping of President of t Transition, PM &amp;  members Government as terrorist elements" @_AfricanUnion #Burkina
'645164022338338817'	RT @Beltrew: Crucifixion in #Saudi consists of beheading convicted person, then stringing up their headless corpse in public  #PT http://t.…
'639860483382747136'	Boeing occupies KSC facility to process CST-100 spacecraft: KSC is the world’s premier multi-user spaceport. See how: http://t.co/b2uMplQiCR
'646096690076717056'	RT @nytimes: He was relieved of his command after he fought an Afghan commander for keeping a boy chained to a bed as a sex slave http://t.…
'645881974242996224'	RT @nytimes: He was relieved of his command after he fought an Afghan commander for keeping a boy chained to a bed as a sex slave http://t.…
'645779286956351489'	RT @nytimes: He was relieved of his command after he fought an Afghan commander for keeping a boy chained to a bed as a sex slave http://t.…
'638676902711033856'	Six Delhi policemen dismissed for taking undertrial shopping http://t.co/d4NOXWAldw
'645879888121954304'	RT @nytimes: He was relieved of his command after he fought an Afghan commander for keeping a boy chained to a bed as a sex slave http://t.…
'642314043492016128'	This morning at 10 a.m., KSC will hold a dedication for a WTC I-Beam that will reside at the KSC Fire Station 1. http://t.co/aVX6ugGp9Q
'645353558959882241'	RT @TabletNewspaper: "@WYDUSA: In an@unexpected addition to sched, @Pontifex will meet with 2000 young people tonight #PapaEnCuba http://t.…
'646066044323258368'	RT @nytimes: He was relieved of his command after he fought an Afghan commander for keeping a boy chained to a bed as a sex slave http://t.…
'645766039393832960'	RT @nytimes: He was relieved of his command after he fought an Afghan commander for keeping a boy chained to a bed as a sex slave http://t.…
'643760828450238464'	RT @CapRadioNews: #ElNiño won't:• End #CAdrought • Fill all #California reservoirs • Restore groundwater http://t.co/6do2mhQrPO http://…
'645846797508718592'	RT @utkarsh_aanand: #HaryanaPanchayat SC points out minimum educational qualification may disqualify half the population of India from cont…
'641305077861388288'	Kentucky clerk to be released from jail: The latest on the case of a Kentucky county clerk who's in jail over ... http://t.co/2m6cuIUlYE
'641311046326714369'	Huckabee is talking to #KimDavis in the Carter Co. Jail now. He is expected to come out of the jail soon and address the media. #WHAS11
'641310197936463872'	Huckabee is talking to #KimDavis in the Carter Co. Jail now. He is expectected to come out of the jail soon and address the media. #WHAS11
'644514637547995138'	RT @AlyWYFF: Albert Bowen was arrested and charged with two counts of murder and possession of a weapon. He is still in jail with those pen…
'642132786204143620'	63 degrees and a two lane road in and out.
'645372008134393856'	RT @bbrianthelion: #BB17 Had an awesome time chatting with @ElissaReillyS @britney_haynes @ranceypants @Frankeudy all wicked cool http://t.…
'645845998544097280'	SC expresses concern on state govt fixing educational qualification for contesting local body elections.
'641488973190197249'	Marginals swing T&amp;T vote - Nation News http://t.co/LdiLdqi2Es
'645048100013240321'	The #Dbacks own a 1.66 ERA at AT&amp;T Park this season, the lowest by an opponent since the park opened in 2000. http://t.co/W7wYowWNVa
'645846730836066304'	We are really worried about fixing of educational qualification as an eligibility criteria to contest election: SC reports @amitanandTOI
'640963219893391361'	@clairevlo no court would convict you
'645642737325342724'	"Don't think for one second we fear 'em, because we don't." Rex Ryan talks #Patriots with @HannahStormESPN. WATCH: http://t.co/2vTEU0kYhR
'645841339871965184'	RT @utkarsh_aanand: Haryana govt agrees to consider removing minimum educational qualification criteria to convince SC for lifting the stay…
'639881223146479616'	This little boy will be in jail for the rest of his life bc no one helped him when he was in need #JamarionLawhorn http://t.co/9ux2ZGJJcy
'644528820335288320'	RT @stltoday: Degrees earned by UMSL's minority students jumps 18 percent in a year http://t.co/VFYffJNEZe
'645707645882535936'	RT @nytimes: He was relieved of his command after he fought an Afghan commander for keeping a boy chained to a bed as a sex slave http://t.…
'644220230009548800'	Are nano-degrees in computer skills, earned online, the wave of the future? http://t.co/Fyv2qtYffR
'645756951800901632'	RT @nytimes: He was relieved of his command after he fought an Afghan commander for keeping a boy chained to a bed as a sex slave http://t.…
'642366125242761216'	T&amp;T top story: Adopted woman reunites with #NB family. Grab a tissue: http://t.co/clJnh11TBa http://t.co/4MrbcOsyQH
'644513520189464576'	Supreme Court stays operation of #Haryana laws that make educational qualification compulsory for contesting #Panchayat polls
'639081635779084288'	T&amp;T Editorial: Former ferry terminal’s fate tells the story of rural #NB http://t.co/hJvyOo8tbR http://t.co/Kfz1SzyNcx
'645088896334827520'	Oscar de la Torre Munoz was released from jail just before 9 p.m. He was a "person of interest" in the #AZfreewayshootings
'645185092286054400'	RT @AfghansUnited: 'Many die of hunger and disease as they head west by way of Iran and Turkey in an attempt to reach Europe's... http://t.…
'648138445173444608'	RT @De_Imperial: Creature had a gun and a taser in his jail cell. The level of corruption at Correctional Services is an embarrassment to R…
'647297774506020865'	Agree wit @Suman_Kher @WeAreBangalore Language of north k'taka, hyd-k'taka has words, which are abuse as per Dakshina Kannada standards
'644459272894574592'	SC stays operation of #Haryana laws that make educational qualification compulsory for contesting Panchayat polls.(PTI)
'644780571911032832'	Infighting among jail inmates #undertrial Ganesh #killed in #CentralJail at Parappana Agrahahara on #Bengaluru outskirts  @NewIndianXpress
'645213680309784576'	RT @neatherlinjb: .@BobGodec in t/crowd, but not as colorful as the fascinating #Pokot! Watching t/#LaikipiaHighlandGames. #Kenya http://t.…
'645353064811991041'	RT @TabletNewspaper: "@WYDUSA: In an@unexpected addition to sched, @Pontifex will meet with 2000 young people tonight #PapaEnCuba http://t.…
'641019427241205760'	He was a vet in Syria; but the university he went to won't give him his diploma, he now has to find a solution on his own.
'644769861395091456'	@vichalhey @MDVForeign sheikh Imran in Jail without a trial for 137 days and is he there because he want to ?
'644450190879907840'	SC stays operation of #Haryana laws making educational qualification compulsory for contesting #PanchayatPolls - PTI
'644443605780660224'	SC stays operation of Haryana laws that make educational qualification compulsory for contesting Panchayat polls.
'642019547726241792'	@crazydiode Nara Rohit one, antha publicity raledu, but way better than standard Telugu movies  @gunturmaverick
'639816004886003712'	Move to free T&amp;T student in Saudi http://t.co/5OsXjuGrue
'638627728753733632'	Six #Delhi Police personnel sacked for taking Tihar Jail undertrial for shopping http://t.co/FcN1nBQZYb http://t.co/mJxqcQaf8P
'644203347294162945'	The Room was all Jack knew, until he didn't.Room was a hit at #TIFF15. Check out the book. http://t.co/BMoU6CkvrJ http://t.co/Nvud6Qmjdz
'645710751320010755'	RT @nytimes: He was relieved of his command after he fought an Afghan commander for keeping a boy chained to a bed as a sex slave http://t.…
'641315037756399616'	Kentucky clerk to be released from jail: The latest on the case of a Kentucky county clerk who's in jail over ... http://t.co/lm6aWmu3aE
'645153702039433216'	RT @NYTMetro: An inspection of St. Patrick's found 18,000 areas in need of repair. Before and after views: http://t.co/xbyFQXS6HE http://t.…
'644369769819312128'	Degrees earned by UMSL's minority students jumps 18 percent in a year http://t.co/VFYffJNEZe
'641286929401671680'	T&amp;T's new PM to be sworn in tomorrow - http://t.co/Qj6tZ88CrQ
'638642487687430144'	Six Delhi policemen dismissed for taking undertrial shopping http://t.co/d4NOXWiJOW
'640102983745712128'	Anantha Padmanabha Swamy temple: Out of endowments dept's reach Vizag http://t.co/0W7GMAASSr via @timesofindia
'641593171097485313'	In Vantage, Meha Dixit on the declining mental health of foreign detainees in the Amritsar Central Jail.http://t.co/OgdcHJ7UBP
'645335198540820480'	T 2000 - Devotion and in prayer at the Lalbaugh ch Raja Ganesh .. http://t.co/Jt3E8KxaTb
'646231651421396992'	RT @nytimes: He was relieved of his command after he fought an Afghan commander for keeping a boy chained to a bed as a sex slave http://t.…
'648300524652097536'	RT @chrfrde: Animation from T+8, T+20, T+30, T+40 #SuperBloodMoon http://t.co/SJJ5lDKZvc
'645989480940244992'	@NonVitalTooth he can practice in jail.
'642036210915905536'	RT @Khanoisseur: Can't.Stop.Watching. http://t.co/yOhzZ95Pnk
'640746433663119360'	@TebogoMalope each ticket comes with a diploma in comedy @loyisothevictor
'647618102876700672'	10 #kannada intellectuals threatened.  http://t.co/HcEJPZIj9S
'647065473033502720'	Rs 1 cr more for renovating pond near Padmanabha Swamy templehttp://t.co/u1NLuWUjZD
'640206931424968704'	@laborcz @WritePlay yes. And he should be in jail too.
'640726949430562816'	MU opens doors for postgraduation course in Hindi - Times of #India http://t.co/eMmwSkSlJc #Hindi
'643746582773432320'	@ShubhamBhuyaat Antha scene ledhu, we had our own diversions @indianatwork
'638747040818724866'	Crittenden said he got out of jail and his son gave him the best hug he ever had. He declined to discuss matters surrounding grand jury
----------
With article id: 5811057c-6732-4b37-b04c-ddf0a75a7b51 and link: http://wwos.9msn.com.au/article.aspx?id=9029902
'642821790985662464'	Lydia Ko intends to play her own game in final round at Evian Championship http://t.co/SIX263A4EY http://t.co/KKoGJl9ekH
'643192959987400704'	Lydia Ko takes scintillating major win in her stride http://t.co/G25wEzqnKw http://t.co/H5qvOqAYko
'645824789286912000'	If you think you can win, you can win. Faith is necessary to victory. - William Hazlitt #quote via @BruceVH
'642827528290336768'	Another win for @WVUFootball! Congrats on your 41-17 victory! #HailWV #WVU
'645380013034835968'	@TyTheWeatherGuy @CStewartWPTV a win is a win is a win
'643436961303138304'	New Zealand golfer Lydia Ko already looking ahead to Rio Olympics after major success http://t.co/FqsWraF0vY http://t.co/8SzaHsUAsD
'642148979476688896'	Lexi Thompson, Mi Hyang Lee tied for lead at Evian Championship http://t.co/gMbRimUoC8
'645358525980393472'	Aussie golfer Jason Day's still calling the tune at BMW Championship in Illinois ... holding a 5 stroke lead at 19-under par in third round.
'645655263865896960'	A little girl in the park just started crying. When her mom asked her why she was upset she pointed to a pigeon and said "it's so ugly."
'643203552085544961'	Lydia Ko spurred to major golf victory by young fan in France http://t.co/byfcJoMOqp http://t.co/nt4HAHiX9E
'642820068288659456'	If you think you can win, you can win. Faith is necessary to victory. - William Hazlitt #quote
'643232518276280320'	18-year-old Lydia Ko wins Evian Championship to become youngest LPGA major champion. http://t.co/DSROHiEfm5
'644949960815968256'	@IAmJohnSparks @pattysouza will do. I was happy to see her at the station when she started.
'643987127265398784'	@skysportnz Lydia Ko not even a mention???
'645255186957631488'	Martin Kaymer fired a 7-under 65 to move into a share of the lead going into the final round of the Italian Open #SSGolf
'643298333809741824'	'Amazing' teen golfer Lydia Ko hailed over major record http://t.co/IZ8NSWXZJI http://t.co/2wSOUOShGF
'645368605048205312'	RT @TCUFootball: TCU has won seven of the last eight games with SMU and 13 of the last 15. #BeatSMU
'643110563430592512'	Lydia Ko records first ever Major title overnight, youngest ever Major winner http://t.co/HKNbNvmOsA http://t.co/TUryr95oSr
'644374031173480448'	@ishaantharoor win win
'642007314669568000'	A bogey at the 18th takes some of the shine off a steady 1st Rd of 69 for NZ's Lydia Ko @EvianChamp in France http://t.co/Wnaqm6gbi9
'643075663960932353'	Lydia Ko wins Evian Championship to become youngest major champion http://t.co/MxmNIxQuci http://t.co/AO59Gw7Kvc
'643179865626255362'	Teenager Ko makes history with Evian win http://t.co/4yRn33KRzG
'645363255666429952'	Jason Day signed for a 2-under 69 to hold a 6-stroke lead over Scott Piercy &amp; Daniel Berger after the 3rd round of the BMW Championship
'645940556858658816'	Zimbabwe's evicted farmers win symbolic victory in South Africa http://t.co/Jn26okJoBj
'643198779756183552'	Teenager Lydia Ko makes history at Evian. http://t.co/twol6V7Avf #golf http://t.co/pdThFbnw5o
'643150609726595072'	Commentary Box is on in 10 mins – Mike, Andrew and Scotty are talking Lydia Ko, RWC and more.
'639967862023520257'	@Acadian_carguy @Sportsnet Win-win! #GoMariners
'643103680334594048'	World No.2 Lydia Ko (18) became the youngest winner of a LPGA major with a 6-shot victory over Lexi Thompson at the Evian Championship
'642338578022793217'	SCJ News: Lee has clubhouse lead at 9 under in Evian 2nd round: Mi Hyang Lee was the sole leader at the Evian ... http://t.co/MKtqVNFygZ
'647393630945087488'	Both sides claim victory. A win-win situation. Would last 6 more month? I am not sure. @Bagaudas @allawatis @OgloOlio
'645145210830352384'	MORNING! We've got a busy day ahead on the PDC circuit with the #EDM15 Round Two in Innsbruck &amp; PDC Unicorn Challenge Tour 13-14 in Coventry
'645408290654916608'	Good news: Kenyan mothers held and abused in hospital win court victory http://t.co/usiCisnxOB
'643160595643138048'	RAMS WIN! RAMS WIN! RAMS WIN!
'645361544042270721'	Jason Day opens 61-63-69. He's at 20-under and will have a six-stroke lead entering the BMW Championship final round.
'645303773234110468'	City remain on top of the #BPL after six games. Three points ahead of @whufc_official and @LCFC. #mcfc
'645442310164103168'	BEAVS Win BEAVS Win!!!
'645217939956887552'	Another round of severe weather creates flash floods across the Chicago area and a tornado in the South Suburbs. http://t.co/haMfnv6UV7
'643475826529308673'	Teenager Lydia Ko poised for golfing riches after Evian Championship win http://t.co/gUlSe6LJ4h http://t.co/Y485XtFLtV
'643341015059951616'	Ko makes history with Evian winhttp://t.co/A9tOjHbVBg
'642933942153166848'	Lydia Ko's drawing on past experience in her bid to lift her first major trophy ahead of final round of Evian Championship at Lake Geneva.
'646482471069057024'	Win Win Win. http://t.co/gMTdQatBDg
'646356325371367425'	@KDbyProxy @MikeTRose Win-win!
'643094165702598656'	Lydia Ko becomes youngest ever winner of a major at the Evian… http://t.co/Et3K7gIpNS via @IrishTimesSport http://t.co/lqfl0a6N1W
'643114148755173376'	Kiwi golfer @LydiaKo fired a bogey-free eight-under 63 to become the youngest winner of a women's major at the Evian Championship in France.
'641951470645039104'	Lydia Ko off to a solid start at Evian Championship https://t.co/ECZx0risMc http://t.co/0FSS7yHEMB
'642143029453656064'	Lexi Thompson, Mi Hyang Lee tied for lead at Evian Championship http://t.co/APf6Wuutvp
'645375236775391233'	Jason Day's moved within 18 holes of the world number one ranking after another round in the red at the BMW Championship in Illinois.
'641075096996704256'	"It was the first thing in the morning, and the last thing at night; till, I confess, it began to be something of a bore to me."
'645743474483064832'	“@FightOnNicole: What a weekend. Redskins win. Bucs win. Vikings win. Jaguars win. Raiders win. #Wild” Such a good week!
'642862708526739457'	Kim Clijsters was not even ranked when she won the #USOpen in 2009. She was a wildcard entry to the tournament and was then also a mother!
'641600298465816576'	The victim says she was at the ATM when a man came up to her with a gun and fired a shot in the air.  No one hurt.
'645431527275282436'	#Astros win!  Defeat the A's, 10-6 in a come from behind victory.  Win #78!  #KHOU11 http://t.co/10FFAK6I08
'645183797231792128'	Tip o' the hat and a round of applause..!#Toons https://t.co/QM2pTIxKG9
'643694294428069888'	Canberra's Carl Valeri to captain A-League club Melbourne Victory: Can Melbourne Victory win three competition... http://t.co/OeUU1N5RiD
'642644146352599041'	@shusshshussh lol win win situation? 
'643079779629928449'	Teenager Ko makes history with Evian win http://t.co/WzJFpDSxJF http://t.co/k43jum9wG1
'642906073431584768'	#Bombers get back into the win column with Banjo Bowl victory | http://t.co/1ocTD32AIz
'643209054219714560'	Lydia Ko says she was spurred on to her major triumph by a vocal young fan during the weekend http://t.co/ig7Pzj3lzz http://t.co/QTCn1pXQWw
'643216006572150784'	Ko wins Evian Championship, becomes youngest major champion: EVIAN-LES-BAINS, France -- With two holes left to... http://t.co/5D2FiwBQDz
'641281887370092544'	Warner: PNM win a victory for ILP http://t.co/atfCcnuWkT
'645457493657686017'	Cougs win. Huskies win. Vandals win. Eags win. No pressure, @Seahawks... #kxly
'643019139859263489'	@AliNotAlli she was kind of a hologram the last five years of her career, no?
----------
With article id: 04373281-0764-483e-a96f-481562918702 and link: http://video.theaustralian.com.au/v/397501/Sicario-Movie-Review
'646817622030462977'	Movie Review: Sicario is Emily Blunt's road to the #Oscars http://t.co/MPoPy7wJSS
'641497697246121984'	RT @JimmyKimmelLive: Tonight on #Kimmel Emily Blunt #Sicario, #AmericanHero #SpencerStone &amp; @RitaOra ft. @ChrisBrown on the Samsung stage h…
'645208761129283585'	Burma’s battle with malaria … and bureaucracy: Artemisinin, long considered to the miracle drug in the fight a... http://t.co/88BYCpBNJt
'649326347274330112'	RT @adamhousley: Exclusive! Fed Law enforcement has 13 major drug cartel thugs on a plane headed from Mexico to the U.S. right now. Big tak…
'646033327409881088'	Movie Review: Everest http://t.co/6EGQpk7GB2
'646232257481445376'	Exclusive Premiere Interviews: Emily Blunt, Denis Villeneuve &amp; More talk Sicario http://t.co/cibxvcQzOO http://t.co/BulgJYcj5v
'643232152700628992'	RT @THR: '#Sicario': Benicio del Toro, Emily Blunt on Mexican Cartel's Brutality in Drug Wars http://t.co/5rdjzYJRDI  #TIFF15 http://t.co/t…
'645059281188990976'	Emily Blunt, Matt Damon and 'The View': A tale of three apologies http://t.co/AzcZbdWpLk http://t.co/jRKYJmkxk6
'647245910624198656'	Movie Review: ‘Pawn Sacrifice’ http://t.co/BwHgwbCEuJ
'640350966815064064'	Movie Review: The Gift | http://t.co/5EJqrZfUle
'644938258342875137'	RT @sethmeyers: Really enjoyed Sicario.  Emily Blunt is fantastic.
'647138738032644097'	Movie Review: ‘Sicario’ http://t.co/OGnipCySBB
'641795545971843073'	Law Enforcement Agencies Tackle Growing Drug Problem http://t.co/zPYzuOscKk
'643537188035104768'	Emily Blunt. Check. Mate.  https://t.co/LX5zGRGOAg
'642480303374663680'	Movie Review: ‘The Visit’ | http://t.co/7SBpqn5sOF
'644104849181700096'	Emily Blunt faces tough questions as FBI agent in thriller 'Sicario' http://t.co/RrDPigjFZS http://t.co/juEbpJYEKx
'643100068132843522'	Film Review: Sicario (★★★½) #TIFF15 #TIFF - http://t.co/d72wGbFiWR★★★½/
'644587918712045568'	'Sicario' Review: Emily Blunt Sees Worst of the War on Drugs http://t.co/7eSEv1lqas http://t.co/tdUzqb0hL1
'643504489232736258'	Today @TheEllenShow welcomes #UFC Champion @RondaRousey + Emily Blunt talks #Sicario at 4pm on #WISN12 http://t.co/YgRJz7GQjo
'645094847280320512'	I commend the solid teamwork among @Arizona_DPS + @phoenixpolice and all law enforcement that led to an arrest in the I-10 shooting case.
'645118676744601600'	@natekulyk ... a Case Review to the Enforcement team w/these steps; http://t.co/U1yn6tCbse (2/2) ^JP
'644865145257259009'	Really enjoyed Sicario.  Emily Blunt is fantastic.
'646061630804111360'	Exclusive Premiere Interviews: Emily Blunt, Denis Villeneuve &amp; More talk Sicario http://t.co/6RP9DVoQrc
'646071635422740480'	@MaasdorpJR the movie Sicario is farken cool too
'642114535843889152'	SICARIO: Emily Blunt gives a great performance as a character that makes no goddamn sense. #TIFF15
'641953395851554816'	@ISMGSummit New Insights from a Former #FBI Agent. @charlesschwab's Langley on Collaboration w Law Enforcement http://t.co/CjF5p9BS11
'646162011949133824'	Emily Blunt looks as elegant as ever during #SanSebastianFilmFestival #Sicario http://t.co/pbZ6zmQaMg http://t.co/UA0uGAa5C2
'642531695854526466'	Emily Blunt says #Sicario shows 'how cheap life has become': http://t.co/05c4d5xsJ3 #TIFF15 http://t.co/fqa35hp3LS
'642499761908527105'	John Krasinski is here at the #Sicario party to support his lady Emily Blunt. #TIFF15
'639152567386157057'	New featurette for Sicario takes a look at Emily Blunt! http://t.co/nnsfkvxxcn
'645134336526786560'	RT @guardian: Emily Blunt apologises for poking fun at her American citizenship http://t.co/0GBUBWRIEj
'642120885009149952'	Video: Retired FBI agent: Law enforcement did job in stopping bomb plot http://t.co/P0gRzOORDB
'645351739265282048'	Law enforcement agencies honored the fallen @VTStatePolice trooper with flashing blue lights along I-89 #VT #btv http://t.co/dnqtbL634h
'644547669688471552'	RT @thehighsign: Sicario opens on a power chord of fear, dread and nausea that resounds throughout the rest of the movie. My review: http:/…
'644494597717127168'	RT @Marshall_Center: @usembassylondon @FBI @FBIPressOffice @US_EUCOM European, American policemen talk law enforcement at #SES15_9 http://t…
'644529107225735168'	Emily Blunt and Benicio del Toro star in the gruesome, haunting Sicario: http://t.co/PeS5Z0vHf0 http://t.co/FD5XvZDB8u
'644915289688285184'	Denis Villeneuve’s drug-cartel drama #Sicario delivers. Our review: http://t.co/L3xOMR8zh3 http://t.co/NE0JjQ5Fz4
'645160467040727040'	@KellieDonlan &gt;&gt; and when she knows more about her situation. In this case we can look at the best solution for her &gt;&gt;
'643869904051945472'	Emily Blunt promotes #Sicario in style in New York City http://t.co/CtXbQupBf4 http://t.co/52cgsre9Rj
'645047169012002816'	Movie Review: ‘Black Mass’ http://t.co/lY2DfgAGci
'644065806091862016'	Emily Blunt faces tough questions as FBI agent in thriller 'Sicario' http://t.co/RrDPigjFZS http://t.co/MluXy9x8og
'645077629461233664'	Denis Villeneuve’s drug-cartel drama #Sicario delivers. Our review: http://t.co/BdyigbvTHl http://t.co/PkI9uVj7G7
'645055642194079744'	Loved SICARIO. Always-great Emily Blunt demonstrating that women in action movies don't necessarily have to be beating people down 24/7.
