With article id: 4a8f4814-0fd9-4ab0-8c4c-c873b56269ff and link: https://www.newshub.org/rex-ryan-sends-message-names-four-former-dolphins-captains-18683208.html
'641026387231404032'	RT @Liz_Mathews: Russell Wilson, Bobby Wagner and Jon Ryan selected as team captains.  #Seahawks
'648496487094218752'	@JolyonMaugham On corporation tax allowances, I’ve read this http://t.co/blzexMT7mE and it occurs to me that capital allowances must be ...
'648349356932792320'	@GauravaTweets One of our executives will be in touch with you and assist you on your 3G concern. - Faraz
'648597921844330496'	The South Carolina #gamecocks will take on the LSU Tigers at noon on October 10, 2015. The game will be on ESPN | http://t.co/eZG8z6H2Hg
'649000743282851840'	Oil industry economists skeptical of link between oil exports and domestic gas prices in Bush’s energy plan. http://t.co/nz8W6V42bU
'644839932175880192'	Deutsche Bank shuts down corporate banking ops in Russia http://t.co/SyW21kcKYp http://t.co/FgoxlOZkBS
'640718396087140352'	On CNBC-TV18 Deutsche Bank Securities: Continue To Believe US Fed Will Hike Rate In September Policy @CNBCTV18Live
'643869960809394176'	#Libya Libya PM prevented from boarding plane to Malta to attend conference of Libya National Oil Corporation http://t.co/9xGedpHDO3
'641128065075126272'	RT @mmnjug: #OLXSOMA2015 Social State Corporation: @KWSKenya @KenyaPower @KRACare @KenyaAirports @HudumaKenya
'640666245902266368'	Stenson takes the lead at Deutsche Bank http://t.co/GIP5sRxWMR
'642386374528757760'	@NAMREMF When? Did you participate in that one?
'640510780601794562'	Spieth misses cut at Deutsche Bank Championship http://t.co/kWtCWrxmrW
'648560201315057664'	RT @SelectUSA: Emerging UK tech firms will be able to meet one-on-one w/ US investors on Nov.11 in the Big Apple: http://t.co/eqLxxfuWT3 @p…
'639773524786348032'	“July denim imports relatively flat” -Deutsche Bank apparel analys
'643481301526441984'	Deutsche Bank comes up w/ "Hawkish Hold vs Dovish Hike"
'643896302120640512'	Can All-Day Breakfast Shore Up McDonald’s Corporation (MCD)? http://t.co/2RKOg7Kfxp
'648438270192300036'	PINCON - Board Meeting on Sept 29, 2015 http://t.co/BT4ks7eKt4
'638978433570242560'	Petroleum Corporation to Deploy Drones to Fight Oil Theft: http://t.co/isVpWu2iQo #Nigeria
'646441177722413056'	Oil company officials pleased with findings on crude oil volatility http://t.co/3mqWgY16Dx
'647516654289747969'	Baraka sued by former Newark corporation counsel over firing http://t.co/xIpKkBNvKu
'641026443112157188'	Rickie Fowler Rallies To Win Deutsche Bank Championship: Rickie Fowler won the Deutsche Bank Championship with one… http://t.co/STtH7AROum
'638654880694042624'	#Tripoli Province of #ISIS claimed credit for the car bombing outside the headquarters of the #Mellitah Oil and Gas company.
'648406376973099008'	@Vikrant_BJP One of our executives will be in touch with you and assist you on your concern. - Faraz
'640983738059325440'	Heat peaks on Friday! Will it be one of the hottest September days on record? #cawx #BeatTheHeat http://t.co/F25I3kqsgU
'644113534536839168'	Fed communication to take centre stage in case of hike – Deutsche Bank: Research Team at Deutsche Bank... http://t.co/efmKoLGkdC
'641237352610942977'	Deutsche Bank boss tries to rewrite future http://t.co/ip0qTcYJth
'648377304599523328'	@GauravBadar One of our executives will be in touch with you and assist you on your concern. (1/2)
'643871112598847489'	In addition to a booster shot, one dog will be on a strict home confinement for 45 days. The other dog was not current with its rabies shots
'644855623356551168'	Deutsche Bank shuts down corporate banking ops in Russia http://t.co/PBTue9LqxA http://t.co/I7hm1cKmox
'646221490069700609'	Control order on pulses, edible oil and oilseeds extended by one year till September 30, 2016.
'640716129120358400'	Golf: Stenson leads Fowler by one stroke at Deutsche Bank http://t.co/SdWSCzPgCW
'647784477704519680'	RT @BillWichertNJ: ICYMI: Baraka sued by former Newark corporation counsel over firing  http://t.co/eoTTkZDMxn http://t.co/pU1Zh97Wgm
'648507971098550272'	RT @margbrennan: President Obama appears to be saying "work with me" in prebuttal to one on one meeting with Russia's Putin scheduled for t…
'641494448485081088'	Good morning friends! Thank you for nominating us for the @SOMAwards Social State Corporation Award. We Salute you! http://t.co/5gl4qGwbgt
'638637435568549889'	IOC - Clarification sought from Indian Oil Corporation Ltd http://t.co/5z71ii42l3
'640111872344260608'	@JP_Biz one to keep an eye on. At least one of the loans with Bank of Scotland
'645055982243041280'	Oil and gas reserves found in Mianwalihttp://t.co/ZmEymPkhem
'639519507912986624'	UPDATE: Official announce pope will participate in TWO parades - one on Sat. 9/26 and one on Sun. 9/27
'638646234568224768'	IOC - Indian Oil Corporation Ltd reply to clarification sought by the exchange http://t.co/tp6M11Z3GF
'648608400658427904'	RT @NTExpress: There will be rolling full freeway closures on southbound I-35W north of IH 820 from September 28 at 9 p.m. to September 29 …
'644647534346895361'	Dugdale: "One year on we must take the energy and enthusiasm of the referendum and use it to transform the lives of families in Scotland."
'643685729474867200'	Corporation Bank shares gain as LIC looks to infuse funds | http://t.co/bVr5LXTo37 http://t.co/ZucI0tdIX6
----------
With article id: 32023021-1141-4832-9939-c8442d505b34 and link: http://m.mysanantonio.com/business/press-releases/article/Perkins-Eastman-Celebrates-Groundbreaking-of-6534757.php
'645067080501432320'	Champaign County: storms currently on either side of Champaign. http://t.co/LGnv6ahEiP
'646763324152094721'	Health care workers call for legislated standard of care in nursing homes -- http://t.co/381d3dfVvR #ottnews
'645105455115694080'	Severe Thunderstorm Warning including Chicago IL, Midway Airport IL, Joliet IL until 1:00 AM CDT http://t.co/DJuLum11fp
'646354344829390848'	Ball says there is a big difference between long-term care homes and personal care homes. Opposes private long-term care. #nlpoli
'640286327301402624'	Tony Perkins is on CNN....AGAIN
'641088606539530240'	Photos: Blandford Fair celebrates 148 years of small town fun http://t.co/ouGejQgnEn http://t.co/kIMS5If0Bp
'645109254890852352'	Severe Thunderstorm Warning including Chicago IL, Midway Airport IL, Oak Lawn IL until 1:00 AM CDT http://t.co/4D3IXYLO95
'643411926609821697'	News:  Those Who Served: At base on #Vietnam-Cambodia border, 'you stayed alert at night' - Champaign/Urbana… http://t.co/4OAPY5zK9z
'641120258204540928'	@iyad_elbaghdadi and that doesn't mean that one doesn't care about the other topics and/or is ignorant of them ;)
'639464456758665216'	RT @realmannynation: Multiple shooting at Perkins homes @ABC2NEWS at 5 http://t.co/RXKY4mBc8h
'646894886931685376'	@bgreen82 no chance. it'll still be Perkins
'644025679554588672'	Chicago (IL) Tribune - Local: Nuns lose bid for winery, nursing home, school in McHenry County
'639782719178719232'	Chicago (IL) Sun-Times: Trump super PAC spawns in Chicago
'645286484631617536'	Chicago (IL) WBBM: 16 Shot In Chicago Since Friday Night
'646328087542689792'	More of the Jock Lindsey's menu http://t.co/V0bFYRiLvN
'648371700652859393'	@jljzen @misssaxbys Their genkiness is inspiring the foreigners to buy into the Japanese system of care for the old.
'646250060737552384'	New flood of complaints revealed on care in homes for the disabled http://t.co/feP4ZWv0f8 via @Independent_ie
'644111088313876480'	Mass. cites 52 nursing homes for misleading ads promoting dementia care services they don't offer. http://t.co/DSNpTQITiX via @BostonGlobe
'645098849879617536'	Severe Thunderstorm Warning including Dupage Airport IL, Ohare Airport IL, Chicago IL until 1:00 AM CDT http://t.co/r3lSkfy87M
'641023590268293120'	UPDATE: Two-year-old nearly drowns at Durand Eastman Beach http://t.co/QsJIbCfzqy http://t.co/7rTcYjjzaL
'647717352180682752'	...  security authorities to care for the families of the martyrs, and we will not forget our martyred soldiers. 2/2
'638777122018844672'	Kirkpatrick sworn in as newest Clark County commissioner http://t.co/BeD2FRZchf
'648574159514038272'	One of the greatest documents from a University in decades.  Univ of Chicago for President! http://t.co/JLFdUq4nsl http://t.co/JLFdUq4nsl
'647049454030196736'	Bipartisan clapping in House chamber for Pope's nod to "land of the free and the home of the brave."
'643123007016300544'	RT @Tavi59: Renee Fleming coming back to Eastman. @DandC  http://t.co/1Al6c4kLz2
'639504361866063872'	@katiesci OTOH, the kitchen and the living room (which has my TV and video games) aren't in that part of the house. I'll be glad for fall.
'643166450904113152'	JUST IN: A serious crash with possible ejection was reported near St. Paris in Champaign County
'643660165451943937'	Sheriff's Deputies to escort residents to homes to feed and care for livestock and pets: https://t.co/nitBkJJd4g
'645837618316337152'	Chicago (IL) WLS: Teen shot, killed during deadly Chicago weekend
'648102519286034432'	RT @MSFSingapore: Update on Haze Management for Child Care Centres and Kindergartens for 28 September 2015 (Monday)In view of the... http…
'646950955188023296'	Take care of children safety at home specially in the kitchen. Keep them away from burners and power sources. #MoI_Qatar
'640691467372072960'	RT @_Revolver66: #SundayArtExchange @MarthaPlimpton Eastman JohnsonInteresting News 1872 http://t.co/VSCOCUSpHI
'648566792873349120'	RT @MycahHatfield: The state fire marshal's office will be holding a press conference regarding the house fire and death of 3 in Eunice htt…
'648517400367898624'	Atlanta Fed GDPNow model forecast for real GDP growth in Q3 of 2015 is 1.8% on September 28, up from 1.4% on September 24
'649235267304431617'	Leadership elections for the House will be Thursday Oct 8
'648432650437312512'	Good morning!  Today will be the warmest day of the week in #Chicago http://t.co/whkpjAyUj4
'641305704545001472'	RT @newsladykatie: Two proclamations up first: the first is proclaiming Saturday Clark County's Day of Service.
'646298689590267906'	[3] "...who fostered, in the daily life of their homes, the living presence of God..."
'648534540533673984'	Murad says that the Taliban have entrenched themselves in residential areas and in the homes of the locals
'647586006518988804'	Perkins.
'646352537436577792'	TODAY | TTSH, polyclinic tie-up sees better care for dementia patients http://t.co/jzuIhb0RPa #sgnews
'646501765555220480'	Clark County's population is growing pretty quick http://t.co/6Ed6puUnrB
'641268071143972864'	Anybody buy/sell a house in the Nashville area during August and care to chat about the experience?
'648468266210459648'	You better follow @LenToddWOR RIGHT NOW---you could be the winner of the BRAND NEW WOR hat---you will be one of the first to have.
'638761398135164930'	Kirkpatrick sworn in as newest Clark County commissioner http://t.co/BwiEti7Xln #8NN http://t.co/pRBvfeP24I
'641199628617154561'	RT @JohnBoelWAVE3: State agency: Former Clark County Commissioners overstepped authority http://t.co/NW19eRYp1Y
'643660425700077569'	RT @LAKECOUNTYOES: Sheriff's Deputies to escort residents to homes to feed and care for livestock and pets: https://t.co/nitBkJJd4g
'641062157522612224'	Toddler nearly drowns, given CPR at Durand Eastman Beach http://t.co/AKVBxdUwy4
'639034552246214660'	Traffic lights not working. Caution: Woodman Dr at Eastman Ave. #WDTNTraffic
'644745737012662272'	Flash Flood Warning including Waukegan IL, North Chicago IL, Highland Park IL until 8:30 AM CDT http://t.co/WU6ZMcjoEA
'643588801269379072'	Clark County jail inmates suspected of making weapons: Three of four Clark County Jail inmates accused of poss... http://t.co/4wJWwllnna
'638782256354603008'	Pope Francis celebrates the liturgy on the first World Day of Prayer for the Care of Creation http://t.co/qnkF3dCMVI
'644924084539797504'	Chavez/Eastman/Marshall Dissertation Fellowships http://t.co/7LFizOvMXc
'648447577147461632'	Chicago I love you. #RalphieOTRA (@ Chicago O'Hare International Airport (ORD) in Chicago, IL) http://t.co/qHvFKi1Fqf
'639464456716742657'	RT @realmannynation: Multiple shooting at Perkins homes @ABC2NEWS at 5 http://t.co/RXKY4mBc8h
'638833838110605312'	School is in session! Make sure you volunteer for the We Care committee so we continue recruiting teachers to Clark County:...
'638578000771072000'	RT @MovePH: Today is the World Day of Prayer for the Care of our Common Home.What are you doing to take care of the environment? http://t.…
'644459616470966272'	State cites nursing homes for misleading ads on Alzheimer’s carehttp://t.co/24MhEt85D8
'648532875621437441'	Chicago (IL) Sun-Times: Looking for hope with the Bears and coming up empty. More #Chicago #news - http://t.co/aIk1UkgJiO
'641985756160913408'	ICYMI: Embraer celebrates Titusville groundbreaking http://t.co/SZNyjPJ4aP @Florida_Today
'648400835555168256'	PIA-CAR/BAGUIO CITY: The DSWD -CAR will conduct an Adoption and Foster Care Forum on September 29, 2015 , from... http://t.co/j5noOsndlL
'645109246695243776'	Severe Thunderstorm Warning including Chicago IL, Midway Airport IL, Oak Lawn IL until 1:00 AM CDT http://t.co/eahb8XpfA1
'644893896850313216'	Chicago (IL) Tribune - Local: Slain civilian worker for CPD 'devoted his life to the people of Chicago'
'643499509188661248'	The Parade of Homes 2015 will showcase newer and larger homes in central Ohio. http://t.co/E1NDXf34f8
'645112599806349312'	Chenoweth's star to shine at Eastman Theatre http://t.co/1R58hfluCZ #ROC
----------
With article id: 89036bd9-737d-4865-a461-a5883a14e46d and link: http://www.cbc.ca/news/canada/calgary/supermoon-eclipse-elusive-in-calgary-s-cloudy-skies-1.3246501?cmp=rss
'638618612983435267'	It's Official. Earth Just Had It's Hottest Month on Record: The findings verify preliminary data… http://t.co/TbmlEKu0lS | @Boiseweekly
'648391713707442176'	SUPERMOON LUNAR ECLIPSE: Most northern Nevadans weren't able the see the rare supermoon lunar eclipse outside... http://t.co/l1BYsX8w0h
'648231273912143872'	Clear skies in the forecast for #Vancouver for tonight's rare lunar eclipse and Supermoon http://t.co/YtHFQTMSx3 http://t.co/A89gIgajnB
'648340040079253505'	RT @BBCWorld: Red moon rising - #supermoon coincides with lunar eclipse http://t.co/bQ8nCXy2a9 http://t.co/HECFY8z5xh
'639075808481550336'	The Strongest Storm on Earth Isn't Even the Most Impressive Weather We Saw in August: http://t.co/UZbTJnKAR6 http://t.co/rmBWwD2vmS
'648509075647389706'	Great 'Supermoon' lunar eclipse photos from @NewsOKPhoto http://t.co/lkhjQ28JZi
'646355247825297408'	Supermoon Lunar Eclipse 2015: Full ‘Blood Moon’ Information http://t.co/OgYW3Oy69E #supermoon http://t.co/hngn1wlS9P
'648528837626609664'	Did you see the supermoon lunar eclipse despite the cloudy skies? Send us what you saw! #Supermoon http://t.co/MiN46TPUn9
'648388565852753924'	Supermoon captured by @MicMacSuibh over Co Wicklow despite some cloudy skieshttps://t.co/sbEeslOlAs
'648325175583178752'	No supermoon eclipse in Bay Area tonight, cloudy with a chance of meat balls :/
'648314047000104960'	I shall rephrase that: 3:11 Total Lunar Eclipse. 3:47 Maximum Lunar eclipse (UK Time)
'648400871450021888'	Blood Moon seen around the world.: The combination of a supermoon and total lunar eclipse last occurred in 198... http://t.co/xW3cOO6D1v
'648331583879929856'	Picture: RT@riptrianaphotog: Full Eclipse - Red Moon Lunar Eclipse #SuperBloodMoon http://t.co/2QrN39Roaj #AZwx
'648213520253886464'	Expect 'unobstructed' skies for supermoon eclipse, says Kalin Mitchell http://t.co/e1RWNRTrbJ http://t.co/274uftDBJN
'648307025487785984'	Lunar eclipse starting! It's beautiful. #SuperBloodMoon
'641317544096305152'	Upcoming total lunar eclipse also a supermoon http://t.co/ws4oii5SQj
'647956836415463424'	Supermoon Lunar Eclipse 2015: Full 'Blood Moon' Coverage http://t.co/xoOd8Qf1Qj http://t.co/OORbTNDIPy
'648439806305943552'	See viewers' photos of the rare supermoon lunar eclipse last night http://t.co/jxVRfP2MpD
'638708587376852993'	@trevdick How on earth do you imagine a grant of taxpayers' money saved taxpayers' money?
'648482353275244545'	The earth just opened up and swallowed this beautiful beachhttp://t.co/J2uOU1tcGv http://t.co/WdTzBGZis1
'648441491795386368'	'Supermoon' coincides with lunar eclipse  #NTVAtOne @SmritiVidyarthi http://t.co/4ZtuVN0rhj
'648311120961388544'	Cool lunar eclipse!
'648319298499440640'	RT @Tom_Wachs: Total lunar eclipse right now. Totally covered. Check it out. Next time we see a supermoon total lunar eclipse is in 2033! S…
'638885840974938113'	@TheSporkful @JHockenberry @disabledfoodie @Zachanner Those are some of the best people on earth. Will share it all over!
'647392892210704389'	Supermoon-harvest moon-total lunar eclipse, coming up @lfop http://t.co/VTpLBR2Sgb
'648253522694283264'	Partly cloudy skies expected here tonight. But, just in case NASA TV to air Supermoon Lunar Eclipse. http://t.co/FNErfPdZb6 #sdwx #mnwx
'648333689382813696'	Meanwhile, on earth..  https://t.co/nWRIeAY1bw
'645915512161964036'	One-night lunar spectacular nears - harvest moon, supermoon and blood moon eclipse http://t.co/eGjfjFKa3h
'639153125463425024'	Earth has 3 trillion trees but they're falling at alarming rate http://t.co/FeqGVEq9jm
'647752988652650496'	Lunar Eclipse Sunday evening...partly cloudy skies expected. Watch NASA's video on this special eclipse: https://t.co/BsSdNNGBMJ
'648492053140217856'	It was too cloudy to see the supermoon/lunar eclipse last night where I live. Guess I'll just have to wait 18 years to see the next one. :(
'648344940037185536'	So who's up watching the lunar eclipse!? #SuperMoon
'648191237376180224'	Lunar eclipse tonight. http://t.co/lLQlLwmRJ4
'648453157454938112'	[Channels Tv] ‘Supermoon’ Coincides With Lunar Eclipse http://t.co/9ArLICpYlD
'639132596580933632'	Lots of trees to hug: Study counts 3 trillion trees on Earth http://t.co/P7WihITaQ6 http://t.co/yJmD7xFQkY
'648318735795662848'	Lunar eclipse hunting...
'648316319000084481'	Supermoon lunar eclipse tonight. http://t.co/YiiuVdiZky
'646389439653150721'	Supermoon Lunar Eclipse 2015: Full ‘Blood Moon’ Information - http://t.co/OgYW3Oy69E #chsnews #chswx http://t.co/OxkWR37alQ
'648215403227967488'	PSM will continue its coverage of the Supermoon Total Lunar Eclipse throughout the night #SuperMoon Stay tuned to @tvmaldives #PSM
'648341119097511936'	RT @za5: Blood Moon Lunar Eclipse Timelapse #moon #lunareclipse #eclipse #supermoon http://t.co/zaizWxusJH
'648323045019402241'	RT @donhudson_tv: Supermoon... (total lunar eclipse) Watching the Supermoon with the family... #moon  #supermoon #utah… https://t.co/7z7kT…
'648160160465166336'	There's both a supermoon &amp; a lunar eclipse tonight! Cloudy skies tonight may make it difficult to see. #wcbi http://t.co/76ZMvDWVD5
'648356286065692672'	#SuperBloodMoon The supermoon eclipse sees the earth move directly between the sun and moon giving the lunar surface a rusty appearance.
'648218355564945408'	Rare double feature! Lunar eclipse to share sky with supermoon tonight for first time in 30 years. http://t.co/QDhNht3x2q
'648436382449332224'	Tonight is the night when a supermoon will be coinciding with a lunar eclipse. http://t.co/Rte0X0Nf27 http://t.co/rBFrGc8eGr
'648313107723513856'	Lunar eclipse happening now. http://t.co/CiVqGuW9mT
'648096533485879297'	RT @Fox19Catherine: Tonight's Supermoon Lunar Eclipse Forecast http://t.co/6S6jjgN2UJ
'638797512443346944'	@Fucked_IT why on earth do you think that is anything but a respectful attempt to understand!
'648418150317330432'	Photos: A total lunar eclipse turned a supermoon blood red—for the first time in 33 years http://t.co/pH0CIbXwO6 http://t.co/GcApsuFlD8
'648143649952432128'	Watch the Supermoon Total Lunar Eclipse Tonight http://t.co/2vP50HG47l
'648081909105295360'	Supermoon eclipse coming to Swedish skies http://t.co/vDhl7nMUyv
'647391610624442368'	On Sunday,Sept 27 @ 10:11 pm, Partly cloudy skies will allow us to view a rare Supermoon lunar eclipse. Learn more: http://t.co/A8VkLrhNkU
