With article id: 8b31120e-d654-45b4-a5df-8fef674339d8 and link: http://investor.wallstreetselect.com/wss/news/read?GUID=30678534
'645560951295606784'	Good morning. ATL-NYG. MetLife. #nfl http://t.co/78G4Jd2xii
'638813097755455488'	New WAH-Job: Sr Account Executive - Gartner, Inc. - Work at Home: United States-FL-... http://t.co/YZ1Lvif1Tf via http://t.co/mKXEEwFrWC
'641101169431961602'	#BeyondPolitics asks: How do you think can HPG &amp; gov't improve traffic management in Metro Manila?
'647053818371313664'	RT @edatpost: "It is important that today, as in the past, the voice of faith continue to be heard, for it is a voice of fraternity and lov…
'643440052241047552'	The Inner City revamp will focus on area-based management to improve the inner city environment for ratepayers. #InnerCity
'639045173800865792'	New initiative will put CPS workers in Erie County's suburban schools. http://t.co/hTGIxtDjmM
'646512213423886336'	RT @KatrinaNation: Pope Francis Calls for Ending Tax-Exempt Status of Churches That Don’t Help the Needy http://t.co/pP9uGqQ2OL
'641333944802258944'	#HESN is our investment to leverage the assets of universities...and it resonates with the core focus of @GlobalDevLab - @annmei
'645661744891842562'	Halifax Terry Fox Run draws hundreds to Point Pleasant Park http://t.co/BjLe6RSszQ http://t.co/WRi42xR6f8
'646082749049139200'	RT @theloop: Apple refunding all purchases of Peace app - http://t.co/dxoAWW93Fb
'641365600418136065'	RT @Aging2WNY: $2.65 million for transportation programs in #agefriendly Erie County  @RepBrianHiggins @markpoloncarz - http://t.co/lhAyddM…
'639026930008891392'	Erie County putting CPS workers in suburban schools  http://t.co/9cQv1C7DDN
'643796412388495361'	@laurenridgley to our Baggage Tracing team assists with the tracing of the bag and is not a claim for expenses.
'638733285863129088'	The land is being donated to the city for the development of the wetlands park.  The city has $1 million in its capital program for the park
'641153186338861056'	@KevinMorton1966 let's go ask the folks of Bransholme or Orchard Park what they think of it.
'641174202175762434'	#BeyondPolitics asks: How can HPG &amp; gov't improve traffic management in Metro Manila?
'646537956228923392'	Ken Henry, last night: "This tax reform package is going to have to be revenue positive, not revenue negative."
'640510274181709824'	"The average annual pay in Erie County has grown faster than the nation for two straight years" http://t.co/aJORj0woyo via @TheBuffaloNews
'644146383646257154'	Breaking: CCRC announces further investigation required in #ChedEvans case before it can reach final decision
'642913649246519297'	RT @AliIngersoll4: Orchard Park Police confirm they're investigating an incident at the RV lots; foul play is not suspected.
'645616706006683648'	Perfect day for football in Buffalo, tailgating lots in Orchard Park banged out at 10am @ Ralph… https://t.co/SFBDZGe9AW
'646081698237685760'	RT @marcoarment: Apple refunding all purchases of Peace: http://t.co/Dmw6TTfZNV
'647032518349197313'	Apple is refunding all purchases of ad-blocking app Peace: ​Apple is refunding all purchases of Peace, the pop... http://t.co/90iqvec2m6
'644860179138412545'	.@sfxii has landed $90 million in financing: http://t.co/9Qt8TZoepz
'644199807381147648'	The strength of a grove of trees is in the weaving of the roots. Such as for #UtahValley and the roots that we have here. #UVSummit @UVBizQ
'640048294052270080'	Fire breaks out at Fox Run Apartments: A fire has broken out at Fox Run Apartments. The apartments are located... http://t.co/XrlpEAhUzs
'641319497601822720'	@AnthonyDiComo chortle
'646601489897648128'	RT @i21CQ: Pleased to announce the cover of @GlobalBrief's Fall 2015 print issue featuring @BenFerencz @JohnKayFT &amp; many others http://t.co…
'640593594676551680'	Also the story of a five day old baby, living on the streets with her parents. And the Syrian father who lost 1000s of dollars to smugglers.
'645736657874882560'	Through all the sadness in Orchard Park today…Tyrod and Shady looked pretty good.
'642912276647931904'	Press release from Orchard Park Police on suicide at Ralph Wilson Stadium http://t.co/5p0xBKOwyX
'642660217159831552'	RT @SophieRunning: Labour leadership result reveals institutional failure to see women as viable leaders. My statement for @WEP_UK https://…
'647813918123884544'	RT @jhickeyBN: Batman Day 9/26 at Buffalo &amp; Erie County Central Library http://t.co/4a3NZpeg5m
'639521161282519040'	RT @pathammer: Healthy thunderstorm over the Buffalo airport  as viewed from Orchard Park @WGRZ http://t.co/yY1E67tEUO
'643742095480594432'	CCRC meeting to consider Evans’ case following 10 month investigative phase of the review. Will decide whether to refer case for appeal
'641286931230277632'	RT @FX_Digital: How to Improve Project Management through Evaluation http://t.co/dEEn6N3WE5  #business http://t.co/RH2guiFKHH
'639620417477603331'	Meanwhile, back in Orchard Park...#RockTheRalph http://t.co/cuGaJE6xF6
'646078938003869696'	Apple refunding all purchases of Peace app - http://t.co/dxoAWW93Fb
'646603549175119872'	Orkney Islands Council is to test interest in the development of a marine energy project involving the Churchill... http://t.co/oOsFIPjrW8
'641776596496556032'	3 questions to improve your time management: http://t.co/LAYkMCiY1D http://t.co/Fb8cLRWb5S
'646511231805747201'	A man suspected in a series of bank robberies in Pasco County has been taken into custody. http://t.co/mBP8JkG675
----------
With article id: b28a79e8-1cd5-459e-875e-1a8ac11319d3 and link: http://www.reviewseeker.com/articles/viewarticle.jsp?id=4079256
'641337573755850752'	RT @Kornelij: Free app to learn Western #Armenian - Android Apps on Google Play https://t.co/IxJjD3Dwi2
'640891945942913024'	Breakfast with Steph, Cody &amp; Sawyer.. #Blessed (@ Tel-Wink Grill in Houston, TX) https://t.co/LdmxYg3GGL
'646403168713207808'	Pictures in the News | September 22, 2015 http://t.co/frYhFk6EZK
'643777881202626560'	RT @channel1america: #BREAKING LIVECoverage of deadly school bus crash in #Houston #TX  https://t.co/3knnEbD5Lz
'646322301063921665'	DVB Bulletin: 22 September 2015: Watch today's top stories with Angus Watson.The post DVB Bulletin: 22 Septem... http://t.co/UxHMRhaRDg
'645789225883844608'	Apple removes apps as App Store hit in malware attack: Dozens of iOS apps in Apple's App Store were infected w... http://t.co/EEhhel39T3
'643502362401841154'	#News: two Kardashian apps &amp; two Jenner apps have just hit the App Store.  http://t.co/qDOz5PIGlR http://t.co/7Fsec3hKKH
'641659756269150208'	Airstrip Apple Watch app. http://t.co/HKEJRzNlIf
'646223796332969984'	Pictures of the day: 22 September 2015 http://t.co/5rUWcaPRJM
'643797352646639616'	Bank of America adds Touch ID and Apple Watch support to mobile banking app http://t.co/9AvKQtJeca http://t.co/su0yKDj4Tt
'641659365972283392'	 Watch: 10,000 apps on app store &amp; now w/ native apps can display video #AppleEvent
'643426352348155904'	@ejz71 ...shooting steps: delete the JetBlue app, reinstall, open the app wait 2 minutes before using app features. 2/2
'645911799292895232'	RT @KHOUweather: Mostly Cloudy and 74 F at Houston, Houston Intercontinental Airport, TX  http://t.co/OuiATIspZj
'645923165412139008'	Brian Bragonier, NTSB investigator and Houston police officials, during on-scene investigation in Houston TX https://t.co/C8UQTUNMRm
'646052575704301568'	@JayBThomas @Sparta Hmmm..so no option for "Software Update" in the Apple Watch App?
'641661733845770240'	Apple announces major update to the Apple Watch for September 16th http://t.co/9oo3PfaBlq http://t.co/Uza9NbdtrH
'641659494351695872'	Apple already has 10,000 apps for Apple Watch on the App Store
'647383853070356480'	RT @Checkatrainer: Exciting times! Watch this space #Fitness #PersonalTrainers #Tech #App #Software #Business #RaisingStandards https://t.…
'640223841151774721'	@TXPeach211 P.O. Box 288,Houston, TX 77001- 0288.
'641660130065420288'	Apple Exec Says: GoPro App Coming For Apple Watch  #AppleEvent
'641661981695582208'	#Apple introducing new Apple Watch bands and faces and Apple Watch OS2
'639455234025201664'	RT @KHOUweather: Fog/Mist and 75 F at Houston, Houston Intercontinental Airport, TX  http://t.co/OuiATIspZj
'648679369775300608'	@neilcybart Twitter Mac App
'645082058541301760'	RT @ElectTonyDiaz: Enjoying the #NHPOHouston gala hosted by the beautiful &amp; brilliant @TheRitaGarcia @MyFoxHouston #Houston #TX #HHM http:/…
'645060813191909376'	RT @ElectTonyDiaz: Enjoying the #NHPOHouston gala wt hundreds of talented #familia. #Houston #TX @MyFoxHouston hosted by @TheRitaGarcia htt…
'646016279409762304'	Review: Apple Watch improves with new software http://t.co/gMev5i5Nfk
'646098977155325952'	Review: Apple Watch improves with new software http://t.co/0bgTKD9ETh
'639251035555401728'	@FaZeGargoyle Is this the Battlelog app or are you using a web browser? The Battlelog app is compatible with Apple and Android devices.
'649272499000188928'	RT @KHOUweather: Partly Cloudy and 87 F at Houston Intercontinental Airport, TX  http://t.co/OuiATIspZj
'643973094651006978'	RT @3ChicsPolitico: Janecia Chatman, 14yr old HISD student killed in bus accident today in Houston Tx. Pls donate.http://t.co/27hfTcjTct ht…
'646313739575164928'	Thunderstorm Watch #MIN_PRSDIssued at 9:22 PM 22 September 2015Thunderstorm is MORE likely to develop over... http://t.co/KUEgJjOBrZ
'643049467332026369'	RT @KHOUweather: A Few Clouds and 61 F at Houston, Houston Intercontinental Airport, TX  http://t.co/OuiATIspZj
'644665495694741504'	RT @5cupcakes: Make FiOS TV your fitness buddy. On Demand offers a full range of health and fitness videos #FiOSPhilly
'638609905679794176'	RT @adriankerr: Download The Wall Street Journal App for iPhone, iPad, Apple Watch, and Android Devices. http://t.co/0yV9qCJGL3
'641659913165344768'	RT @AndyBoxall: Facebook Messenger, GoPro, iTranslate, and the medtech app AirStrip are all new for the Apple Watch. #DTApple @DigitalTrend…
'643766283482238976'	RT @CayleThompson: #Breaking: School bus crash in Houston, TX. Driver &amp; 4 students hospitalized. More #LiveOnKOMO this AM. http://t.co/l1wH…
'645995779052539904'	Check your apps. Apple pulls infected apps from iTunes App Store http://t.co/JSuvQVwgIl http://t.co/E0YTG0Bw2h
'647179453353865216'	@MossPalmer what mobile app and version are you using? and can you try to install and reinstall the app ? :)
'646199875617468416'	ADVISORY via @dost_pagasa | THUNDERSTORM WATCH Issued at: 1:41 PM 22 September 2015 http://t.co/2xCwkMyGRd
'643779605871108096'	This bus was on the way to a high school in Houston, TX when it fell off an overpass.&gt;&gt;http://t.co/UVjlRHqxke http://t.co/sai64nIkKH
'646188194141216768'	Sprint will begin selling the Apple Watch on September 25 http://t.co/AE7TWSt8bY http://t.co/8pdoymnZCJ
'641739175822168064'	@paynetc You’ll need an app. That’s without third-party apps.
'649218957082259457'	The podcast is up on SoundCloud and in the CardsHQ app. Will hopefully be in your Apple podcasts app today.
'642189152017063936'	What's your favorite traffic app? Links to helpful traffic apps, including WAZE: http://t.co/uVwUQRH7ko #k5traffic
'646051485583695872'	Hi everyone! Today we are tweeting live from the USHCC National Convention in Houston, TX #VerizonHouston
'646457573802029056'	@scottcase Hey Scott, we do not currently anticipate updating our app for the new Apple Watch features. (1/2)
'640123747144462336'	They have an app. An app for their wedding. A WEDDING APP #Technology
'641644455515308032'	Complete device (MDM) and app (MAM) Mobile Management across Google Apps  - http://t.co/u14fpBHAsi
'646251878699810817'	Watch The #Brunei Times Daily Newscast September 22, 2015 here http://t.co/yFYkX4Wak0
'644447164672905217'	RT @KHOUweather: Shallow Fog and 73 F at Houston, Houston Intercontinental Airport, TX  http://t.co/OuiATIspZj
'641662204517810176'	Apple is introducing few new finishes and new bands for the Apple Watch
'644161628464922624'	@DanielSaghian get an app
'646130867052613632'	best frickin app
'641666378420781056'	Apple Exec Says: GoPro App Coming For Apple Watch  #AppleEvent
'640695206283579392'	Facebook's Messenger app now more popular than YouTube app. Second only to...Facebook app. http://t.co/dBKP53qBiI http://t.co/NGzmqIBtLi
'646798563981291520'	RT @windowsdev: Different apps speak the same language, with #Windows10 app-to-app communication. https://t.co/Qn6OmWirYK
'646754655427522560'	Time to catch up with Danny and the crew! Watch the season finale of #CountingCars online, On Demand, and in the app! http://t.co/sDWUaP4i55
'643848679418425344'	RT @channel1america: UPDATE:Here is a update on the victims in this mornings school bus crash in #Houston #TX  https://t.co/JTQDb5iO8U
'646524258227609600'	@_curses what app?
'640919087074422784'	@BMc6ee delete the app. 
'644168210053468160'	RT @KHOUweather: Partly Cloudy and 83 F at Houston, Houston Intercontinental Airport, TX  http://t.co/OuiATIspZj
'646204923026128896'	Prep schedule for Tuesday, September 22, 2015 http://t.co/GTtFyUiSaC
'641661981687181312'	#Apple introducing new Apple Watch bands and faces and Apple Watch OS2
'646391835884171264'	Toronto Weather Forecast: September 22: The Tuesday, September 22, 2015 weather forecast for Toronto, Ontario and… http://t.co/zyUqroZHaC
'643878747905527809'	@davezatz network provided app vs pay tv provider's app
'640526819754700800'	Is there maybe a @TrainingPeaks Apple Watch app on the horizon? Would be great to have critical CTL, TSB and PMC data available as a Glance.
'643901620888055809'	2 students dead, 3 injured after Houston, TX bus crash http://t.co/MzGxrLNIE5 #11AliveatFive http://t.co/RjwqsfMG22
'643844349378338816'	The Age tablet app wins PANPA award for best App/Mobile Site of the Year: The Age tablet app has won Best App/... http://t.co/BHMHS1mQCi
----------
With article id: 7d81a98b-8483-4b4c-8c74-55d586f7d863 and link: http://pubs.rsc.org/en/Content/ArticleLanding/2015/CE/C5CE01180A
'638938918692347905'	#Dodgers win, 2-1. They now lead the #SFGiants by 5 1/2 games.
'642003520669937664'	@ChrisShadrock @Joeycules but is it "structurally balanced"
'646530298835005442'	Power has been restored in the Metro stations which had been affected by a power outage. Yellow Line and Green Line service have now been f…
'639576356792180736'	I refuse to wait an entire month for this new Janet. *Runs headlong into wall to induce coma*
'648090016271368194'	Traffic Update: As of 7:00 PM, Naia Ave NB (L) / SB (L); MIA Rd WB (L) / EB (L); Domestic Rd NB (L) / SB (L); Andrews Ave WB (L) / EB (L)
'648676682526760960'	Think the Pirates have left as many on base as the Packers have points tonight.
'638904482441490432'	@Darrendjrivers 1/2 Your area may have been affected by unscheduled power interruption.  A crew has already been assigned to further check
'644703237497597952'	RT @marxiststewart: I don't ration h2o to make a difference. We are responsible for 3% usage. I ration h2o to b ready 4 a world where h2o i…
'646538781164634112'	“@mpputhm: @H2O @hanan_464 @H2O @charlesmohan @iojthetouch Can't imagine 40 buses frm UTHM convoy 2 Pdg Merbok! Must b great @faris_hussein
'648074345441398784'	Traffic Update: As of 06:00 PM, Naia Ave NB (L) / SB (L); MIA Rd WB (L) / EB (L); Domestic Rd NB (L) / SB (L); Andrews Ave WB (L-M) / EB (L)
'648668849609527296'	RT @WeAreCardiff: Swap it! Get in on the design competition from @GreenCityEvents  http://t.co/lvpWl9Qe5O
'648044151762632704'	Traffic Update: As of 4:00 PM, Naia Ave NB (L) /SB (L); MIA Rd WB (L) / EB (L); Domestic Rd NB (L) /SB (L); Andrews Ave WB (L) / EB (L)
'638894115321610241'	Samsung Unveils Circular Smartwatch http://t.co/0Dn3Doo9vw
'641590826351620100'	@rugbydick Hi Rich, the payment has been requested today and I believe you have been informed by my colleagues from Customer... 1/2
'646807502361894912'	L O N D O N
'648126916898213888'	The age of circular views
'647421856048283649'	@tabachinchin10 1/2 Your area may have been affected by unscheduled power interruption. A crew has already been assigned to further check
'647455246147526657'	the #1 and #3 albums in America and the #1, #2 and #3 songs in America are all by Canadians
'647955258929340416'	Traffic Update:As of 1000 AM,Naia Ave NB (L) / SB (L);MIA Rd WB (L) / EB (L);Domestic Rd NB (L) / SB (L);Andrews Ave WB (L ) EB (L)
'649060898791886848'	@DistinctLaugh you make a good point, distinct.
'648669438149922816'	@PhuzzieSlippers (I think that's what happened, based on little I read)
'648307851778134016'	@BristersBlister Circular reasoning and impenetrable. Copy you.
'648675235504463873'	Want to volunteer at #LAUNCHScale and/or #LAUNCHMobile?  Apply here: http://t.co/zXeEtxziNb
'639424109944942592'	@mtkguard Regrets, which train and car # are you in? We can report AC for repair.
'640836127801241604'	A new transgenic plant to produce biofuel: Triacylglycerols from plants can be used to produce environmentally... http://t.co/qazEZp7bl9
'646497721206087680'	$58 H2O+ Giveaway: H2O+ and Walt Disney Records Invite You to #ShareYourLegacy @H2OPlusUSA http://t.co/Koa7L1Zp9A via @NYCSingleMom
'648669440616235008'	Globally, more than 2 million plastic bags are used every minute. http://t.co/E8i2HoE7iv #OneSmallThing @boxedwater http://t.co/iRIDKNTzXi
'639281768495902725'	The @SFGiants have tied the @Dodgers 1-1, after 5 1/2 innings. Clayton Kershaw has 8 strikeouts and has only allowed 2 hits.
'640765760823029760'	@gte Why do you mock circular displays?
'646021561670082560'	‘02. 21 - H2O (Produced By Sonny Digital And Zaytoven)’ on #SoundCloud #np https://t.co/xT8byMCjqo
'648515110345043969'	Clearly Unite Against Corruption intends to induce heat stroke in Pretoria participants, while mollycoddling the Capetonians.
'640143838993100800'	Defining the circular economy http://t.co/ULyDidg2G3
'639826657470234624'	@nohodge @maxseddon @tggrove I assure you that nothing could induce me to touch it.
'638715653764087808'	RT @MikeEOTurner: In July, Poland's MoF denied it had mandated 4 banks (that we named) for a new bond. Today, Poland's MoF announces deal w…
'640307350868508672'	@Thatssobarrios structurally S1 is unbeatable. Only S5 comes close.
'639050815055904768'	RT @rupashreenanda: Yechury:'D strike has proved 2 pts.No 1. govt tried their best 2 try n buy off TUs.Except for 1 affiliated to RSS not a…
'648200179594756099'	G O A A A L L L 
'645961904406396930'	Traffic Update: As of 10:00 PM, Naia Ave NB (L) / SB (L); MIA Rd WB (L) / EB (L); Domestic Rd NB (L) / SB (L); Andrews Ave WB (L) / EB (L)
'647412702793572352'	RT @CStein66: @powellnyt circular firing squad
'646609481426726912'	Newell on Carter: "His attitude has always been very good and he’s a talented bowler," (1/2)
'642044169880383488'	Jewish produce? It's #Israeli produce https://t.co/M5JDGJzWfg
'645945022005665792'	Traffic Update: As of 09:00 PM, Naia Ave NB (L) / SB (L); MIA Rd WB (L) / EB (L); Domestic Rd NB (L) / SB (L); Andrews Ave WB (L) / EB (L)
'642322087240077312'	RT @NWSMARFC: Rain from the past 2 days. Shades of green=under 1/2". Blues=1/2" to 1 1/2". Purple &amp; orange=1 1/2" to over 3"! http://t.co/R…
'646673534488571904'	Kganyago: Although #rand has been one of the more #volatile currencies...1/2
'648591473051607041'	Can music provide a distinct identity for Canadians? We asked @Buck65 in #Toronto. http://t.co/gBHNvMlhDl
'648669444768567300'	@ealboim makes perfect sense. He's the best. And this debate used same format as previous consortium debates. 1x1 + open debate. Worked.
'641810071660404736'	RT @LJKawa: One is structurally impaired, the other is cyclically extended. Come on! We can do better. I have faith...
'644433778010537984'	@AlFRANCEformed 1/2. A report has been made to be attended by our crew from Alabang Service Center.
'648667898161049601'	‘02. 21 - H2O (Produced By Sonny Digital And Zaytoven)’ on #SoundCloud #np https://t.co/xT8byMCjqo
'638761397883527168'	RT @WANationalGuard: .@WANationalGuard , @CONG1860 , @MNNationalGuard &amp; @wyoguard has dropped nearly 1 mill gallons of H2O on #WAwildfires …
'646689661369368576'	RT @NYCSingleMom: $58 H2O+ GIVEAWAY H2O+ and Walt Disney Records Invite You to #ShareYourLegacy @H2OPlusUSA - http://t.co/vFgxAdRp8A
'646812462625488896'	RT @theweeknd: L O N D O N
'648669369917046784'	well that's a pretty normal average videogame controller that is not weird if I ever seen one http://t.co/R2anE8zavv
'644380014532788224'	@doubleyewdee j e l l y
'648675260263325696'	@lifeinanutshel Right? I got totally lucky and just snapped it at exactly the right moment.
'645658691329396738'	Yale lab finds new ways to synthesize HIV inhibitor http://t.co/DQ1JrcNkf1
'646673463256739840'	Kganyago: Although #rand has been one of the more volatile currencies...1/2
'645349396377436160'	Crime scars: can recessions produce career criminals? http://t.co/cAQMAkaZ0p
'646998179758637056'	1 further point gifted by refs to Juventus and it's already 2;2 gifted to Real Madrid, and it's 4;1 last Sunday to RomaRestoration part2
'648668855942926337'	am loving @BernieSanders
'644007204828368897'	Researchers in Wales synthesize methanol from crude glycerin: Researchers from Cardiff Catalysis Institute in ... http://t.co/98eiDQ6jHm
