With article id: c24983f3-70bc-4e1e-b1ab-75d559adc338 and link: http://www.cnn.com/2015/09/05/us/tropical-storm-grace/index.html
'640324923706097665'	Tropical Storm Grace forms in eastern Atlantic http://t.co/yNbAvOswLH
'640724452213456897'	Ya man a Byrd he served in the Senate for 51 years he filibustered the Civil Rights Act he had a pocket Constitution https://t.co/2ikCT50ltO
'645411623465709568'	Best half of Hogan's career.
'639581024729567232'	@chrislmarsh Thanks, Chris. Our #econdev team is the tops but we do miss you on our team!
'644814292294889472'	What. A. Goal! Patty kicks a stunner from the boundary line in the pocket 13-19 #weflyasone #aflfinals
'645222460720181249'	TEAM NEWS: #QPR Head Coach Chris Ramsey talks about his side to face @HullCity this afternoon #HULvQPRhttps://t.co/tFyMqC57yO
'642134718394290176'	“Truth finally came out and I was vindicated.”Manny Pacquiao feels 'vindicated' by @FloydMayweather IV controversy http://t.co/VNbJApgLaE
'644401705107501056'	Visitors can see Manny Pacquiao and more at this weekend's Philippine Festival http://t.co/OlJ3pPK1qs http://t.co/4mXQrQfsnk
'642280314052694016'	Boxing Report: Floyd Mayweather Used WADA-Banned IV Before Manny Pacquiao Fight http://t.co/ceVdbGpxHZ
'640021929240301568'	A poor kick from Enright results in a goal to Tom Lynch. Margin back to 19 pts. #AFLCatsCrows
'641987947420450816'	Scooplet: Chris Christie builds his Iowa campaign team - with another former Branstad staffer. http://t.co/QakmCs1r3L
'643197473708732416'	Manny Pacquiao 'bored' as Mayweather retires unbeaten.http://t.co/o6YgAcVqq9
'642023388614160384'	Report: Floyd Mayweather used a banned IV one day before Manny Pacquiao fight http://t.co/8LZxgCr78S
'644047649042243584'	Manny Pacquiao shows his hometown using #StreetViewPH. #RStream || via @AKQuintos http://t.co/SY2M4UERT3
'648207138267893760'	Tony Cruz crushes a drive off the centerfield wall for his 3rd career triple.  Has reached base safely in a career-best 7 straight games.
'639291392565608448'	Clayton Kershaw has 13 K through 8 IP. Kershaw now has a career-best 249 K in a single season.
'643012778362540033'	(Video) Boxing: Manny Pacquiao Throws Shots At Floyd Mayweather During His Fight With Berto - http://t.co/um9A0AZp0U #IFWT
'640869251423727617'	Newly appointed National team coach Ricki Herbert. He was the former national team coach of New Zealand http://t.co/OlWfBJJxJP
'643203525988716544'	“The team stuck together. I couldn’t be happier with our football team.” - Coach McCoy
'645180865392287744'	@Sam_Cook_1986 Any chance of a team photo :) Chris
'640456070020878336'	RT @SuperSportTV: Manny Pacquiao has hinted that he has several more fights left in him -&gt; http://t.co/ZaUgZOeaXs #SSBoxing http://t.co/FVQ…
'641229521178394624'	Pacquiao scores 19 for KIA in pre-season game: report http://t.co/2AwTjI11nB http://t.co/xWJNi7kL5T
'639340949890469888'	Bob Arum: Manny Pacquiao retiring next year, eyeing Senate seat http://t.co/0zZi7WHao2
'639975738045792256'	I won 5 achievements in Minecraft: Xbox One Edition for 190 #TrueAchievement pts - http://t.co/vb48KL1Shp
'639233012337672192'	That's the 1st time that Tyler Lyons has struck out the side in the 1st inning in 19 career starts
'640812592601149440'	By the way, Kiwi Mitch Evans bloody impressive in GP2 this weekend. Two podiums and a win from the back !! How do you do that in GP2 ?
'645756730329186304'	Claude Legault just won Prix Gémeaux as best actor in a drama. For 19-2. Like how many awards has this guy won in his career?
'648289323238957056'	@wunlen reminds me when I sat whole night waitin for #Mayweather v #Pacquiao,only for the fight to start at daybreak in my part of the world
'642077116855549952'	The Pacquiao-Mayweather Fight May Have Finally Gotten Interesting: While the Floyd Mayweather, Jr.–Manny Pacquiao… http://t.co/QycERbnq7t
'641173919534317568'	RT @robertmadoi: BREAKING. Court finds former Cranes team manager, Chris Mubiru, guilty.
'642922161104097280'	(Video) Boxing: Manny Pacquiao Throws Shots At Floyd Mayweather During His Fight With Berto - http://t.co/kgL5QB1oqz #IFWT
'639606077034639360'	Chris Rainey relishes opportunity to face team that released him http://t.co/SvbqMoTXwQ
'646628507909492736'	In the end, he was overruled by a couple of blokes on his team. Would be convenient to blame pro game but pro game behaves better than that
'638873320000196608'	"Team Nippon"
'640893372765372416'	Happy Labor Day! Interested in a career in Public Safety? Check out the recruiting expo this Saturday! http://t.co/RteYnithup
'644053253160849408'	Manny Pacquiao joins @GooglePH at the launch of #StreetView. | Marlet Salazar @InquirerBiz http://t.co/1awzyctZng
'646661938693320704'	RT @luannesorrell: Are u team #PizzaRat or team #MilkshakeSquirrel?  #Fox35
'643197476728635392'	Manny Pacquiao 'bored' as Mayweather retires unbeaten.http://t.co/GxEKNWSYOs
'641934648818429952'	Floyd Mayweather received banned IV before Manny Pacquiao fight – report http://t.co/PnKwTqhv14 http://t.co/qBCBfRLWAg
'641033240032088064'	Jordan Spieth is the 1st player in history to take over the No. 1 World Golf Ranking during a week in which he missed the cut (ESPN). #PGA
'646594877048909825'	Manny #Pacquiao -- KO's $2,500 #LouisVuitton Bag ... By Signing It http://t.co/SYeIt2opC5 http://t.co/rtC5fRUNXK
'640970111021645824'	@TESOnline As a PVE player I'm really unhappy about being killed by an enemy player the moment I set foot in the Imperial City
'643288389882630144'	(Video) Boxing: Manny Pacquiao Throws Shots At Floyd Mayweather During His Fight With Berto http://t.co/nL5FSh0fJW
'642317961496252416'	Report: Floyd Mayweather used a banned IV one day before Manny Pacquiao fight http://t.co/TzoE4teXzi
'648119986364542976'	Chris Christie reclaims support of Iowa recruitment team. http://t.co/O31USSD2NX
'640796854406393856'	RT @StarSportsHub: .@MannyPacquiaoTR drops 19 pts in Mahindra pre-season win https://t.co/xZUzcKkZHS I by @richava via @PhilstarNews http:/…
'640459449933561857'	‘I know better’: Manny Pacquiao plays down talk of 2016 retirement http://t.co/cErExqqi8K http://t.co/QUi4VXJTyl
'641828697238966272'	BIEN TEAM !!!❤❤
'643353276239495168'	RT @SimShep: Team vinny or team Nolan??  # Youdecide @StephenNolan @vinnybelfast
'642186676647804928'	RT @ABC7: #CHASE: SWAT team has entered Chris &amp; Pitts BBQ WATCH #LIVE http://t.co/u5lTveiQy0
'645252311502204928'	Team Moz = Team Tall  @StevePrescott1  https://t.co/L1jZySUOb9
'647487836925489152'	@Red_Fuze separate team from the chat team. 2/2 ^MP
'641032728910032896'	Jordan Spieth will be the 1st player ever to take over No. 1 in World Golf Rankings in a week when he missed the cut.
'641420495255142400'	@GingerAlyssa Did he have a career as a pop star?
'644668084977053696'	RT @RGriffinStar: Estrada is now career .153 with 19 hits and 2-for-5-.400 this year. Pennington crushed 0-2 pitch for 3R blast #BlueJays l…
'640814362362429440'	RT @ANCALERTS: JUST IN: Davao City Mayor Rodrigo Duterte says he isn't running in #Halalan2016
'648414928269918208'	Best #BPL away records in 2015:Palace Pts 28 GD +11Arsenal Pts 28 GD +8Chelsea Pts 23 GD +2Man Utd Pts 21 GD +1Man City Pts 20 GD +4
'640389353592651776'	Pacquiao hints he has more than one fight left: GENERAL SANTOS, Sept 6 — Philippine boxing hero Manny Pacquiao... http://t.co/VzvQDvDGCT
'640022144110436352'	Nadal is 17-5 in his career in 5-set matches. Fognini is 9-9 for his career.
'640647561829875712'	The @Dodgers Brett Anderson left the game due to a leg injury. He reached 150 IP this year for just the 2nd time in his 7 year career.
'647092023066034176'	Team @galatasaraysk #training #team #galatasaray #cimbom #fun https://t.co/2QRXtRAGLQ
'643882965819371520'	I won 5 achievements in Forza Horizon 2 for 151 #TrueAchievement pts - http://t.co/vb48KL1Shp
'639275470152986624'	The watershed moment for Periscope? The Mayweather-Pacquiao fight, according to @mattsmith0 http://t.co/F8rpjqb0GP
'642955992741732352'	(Video) Boxing: Manny Pacquiao Throws Shots At Floyd Mayweather During His Fight With Berto http://t.co/nL5FShhQBu http://t.co/OFeREw0WCx
'645674504786681856'	That 67-yard punt for @MattBosher5 is a career best. #ATLvsNYG
'639724332651032576'	Manny Pacquiao to retire after one more fight in 2016, says promoter.http://t.co/d8gPcTxUvN
'646129584606285828'	Andrew Luck had a career low passer rating in the 1st quarter last week, he just broke that career low, with a 12 rating tonight #MNFonRTV6
----------
With article id: 58b85ce5-7701-4010-a7f1-246880d1a980 and link: http://www.merrionstreet.ie/en/News-Room/Releases/Geoscience_Ireland_Companies_Create_over_130_New_Jobs_since_January_2015.html
'645889487566802944'	Asia #Business ~ EDB's deputy managing director named new CEO of Sentosa Development Corp - THE BUSINESS… http://t.co/OsAWsD3NuQ #Pacific
'643768040983674880'	Taoiseach &amp; Minister Joe McHugh pay tribute to Dinny McGinley http://t.co/bfmT2BpXmH http://t.co/RQ46O8XIhd
'648058374131720193'	Surely the future of Northern Ireland is for the people of Northern Ireland, not the people of Ireland, to decide?
'646972631959343104'	RT @NIITLtd: The development is supported by the Department of Jobs, Enterprise and Innovation through IDA Ireland. http://t.co/f2nSKBfFMY
'640888189754953728'	According to the minister @nesmymanigat, the reopening of classes will indeed be today, Monday,September 7, 2015 1/2
'638958304270655488'	No decision made on helicopter service to islands, insists Minister Joe McHugh http://t.co/eHhGK7XARs http://t.co/nhkCdnps0U
'641310300961161216'	New initiatives to aid Puerto Rico in energy &amp; infrastructure, agriculture, tourism and business &amp; tech development: http://t.co/FZMjmkStma
'645048141570412544'	RT @scinewscom: Scientists Discover World’s Longest Chain of Continental Volcanoes http://t.co/spbm7J9xnl #geoscience #Australia http://t.c…
'643726464261582849'	NOW: “Intl experience in managing oil &amp; gas resources. Converting natural resources into engine of development”live http://t.co/tkbgbNYUAX
'644425127908757504'	Attending the Keynote Seminar on priorities for energy policy in Northern Ireland,competition,investment and security of supply
'646383986520952832'	Why students should create their own jobs and companies http://t.co/YXptNIoTIm
'645211885810356224'	@dghettuba business development / passion for profit hehe  @wanjiku
'638971152036179968'	Two new Eurospars are opening their doors in Northern Ireland between now and the end of the year - with 6 more due to open by end of 2016
'649181311840686081'	£1.98bn total redress paid in the first half of 2015 – down 18.9% on previous six months
'644573855693041664'	New public sector jobs since #elxn41: +13,214. New private sector jobs since #elxn41 : 118,297. Source: @StatCan_eng cc @Tyee_Nuttall
'642786014998589440'	Hotel prices averaged $123/night in #Tampa for the first six months of 2015. #HotelExperts
'641014975629099008'	#india #business : Wipro ropes in TCS’ Dave Chopra to head global infrastructure business: Infrastructure serv... http://t.co/fV3RuyWECz
'640726170615574528'	#PNG Police boss to fix law, order: Source: The #National, Monday September 7th, 2015 NEW… http://t.co/2OlyQCp1TM
'647517677582426112'	Of @Novelis the judges said: “A great example of how companies are thriving in providing for the sustainable economy” #rba15
'640913441419567104'	@DaveAMF Hi David, provided you were born in and a citizen of Ireland or the UK you can travel between Ireland and the UK -&gt;
'649204487027081216'	"But there's no term for growth hacking that already exi-"BUSINESS DEVELOPMENT. BUSINESS FUCKING DEVELOPMENT.
'643290406332026880'	Government emphasizing development of infrastructure: Arun Jaitley
'645716800093589505'	Collin McHugh is 10-4 with a 3.02 ERA in his last 16 starts for the Astros.
'646944989843427328'	@jilleduffy The fuck happened to "business development"?
'647006369099419648'	#Vedanta Group cuts nearly 4,000 jobs in India since January http://t.co/DopDkqM98V
'639007285675626497'	KPK leadership to fight natural resources corruption http://t.co/T3l15SYr0t
'639830780877873153'	Violence against the person in Northern Ireland increased by 2.4% in the twelve months to 31st July 2015
'640741771526455297'	#PNG Namah urges change of govt: Source: The #National, Monday September 7th, 2015 VANIMO… http://t.co/uqrrsWh4vN
'646679723641143302'	Vedanta Group retrenches over 3,400 jobs in India since Januaryhttp://t.co/r2xDeIfrIc
'643741894611181568'	Ireland is the top destination in the world by quality and value of investments - http://t.co/61hJiDgcz4 http://t.co/G4YEc2LckV
'640741769487994880'	#PNG Fisheries,West Papua on agenda: Source: The #National, Monday September 7th, 2015… http://t.co/zG3aAY3IK0
'645168157590712320'	Joe Schmidt sees need for Ireland to sharpen cutting edge in opener - http://t.co/3D28EI5Q5M #RWC2015 #IREvCAN http://t.co/cVy0qskxRq
'640092387478478848'	JOBS JOBS JOBS - Looking for a new job? See some of the latest vacancies on our website: http://t.co/g3ZnWEG3mP
'648520062404419584'	RT @NatureNews: Here's the Nature Geoscience paper that summarizes the NASA #Mars findings ($): http://t.co/GsDwVa1Qd9 http://t.co/KuCpt14I…
'640726172112957440'	#PNG Supermarket brings benefits: Source: The #National, Monday September 7th, 2015 By HENRY… http://t.co/gYztGTBhEV
'647742007931219968'	LARAMIE WYOMING — A weekly look at Wyoming business questions from the Wyoming Small Business Development Center (… http://t.co/tJBQCps5Yp
'640726169046880256'	#PNG Senior officer charged: Source: The #National, Monday September 7th, 2015 A senior… http://t.co/Q1LZKLWoR8
'644074354159042560'	Also on @todaysor more sad stories of Farm robberies in rural Ireland, and a cheque in the post - if you've applied for the water grant.
'643516015733809153'	New Digital Media jobs for Sep 14th on the Adrants job board: http://t.co/o2OYWtw4ZV #jobs
'639540677148340224'	RT @theirishpost: #IRA debate in the North of #Ireland is nothing but shabby politics, writes Joe Horgan http://t.co/bEWbyytXO2 http://t.co…
'644609999616872448'	@danielbeewees Hi Daniel, it usually takes a couple of business days.
'645631251328724992'	New Digital Media jobs for Sep 20th on the Adrants job board: http://t.co/fLLaI38zyI #jobs
'644456143792816128'	“@MalangoAtupele:circle of development rests on 3 legs: human resources natural resources &amp; energy #HE Luhaka Vice PM DRC #AfDBEnergyWeek”
